,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
10,Jungsik,2 Harrison St,"New York City, NY 10013-2810","$$$$, Asian, Korean, Gluten Free Options",4.5 of 5 bubbles,272 reviews,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,https://www.tripadvisor.com//Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu
11,Fire & Oak - Jersey City,479 Washington Blvd,"Jersey City, NJ 07310-1972","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,372 reviews,The Bass and Stuff Crabmeat was a winner. Sushi Appetizers were great. The overall selection represents a diverse option. A winner in JC.,+1 201-610-9610,https://www.tripadvisor.com//Restaurant_Review-g46531-d1455328-Reviews-Fire_Oak_Jersey_City-Jersey_City_New_Jersey.html,Check The Website for a Menu
12,Fiore Deli of Hoboken,414 Adams St,"Hoboken, NJ 07030-2693","$, Italian, Deli",5 of 5 bubbles,158 reviews,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More",+1 201-659-1655,https://www.tripadvisor.com//Restaurant_Review-g46515-d873710-Reviews-Fiore_Deli_of_Hoboken-Hoboken_New_Jersey.html,Check The Website for a Menu
13,Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621","$$ - $$$, Italian, Mediterranean, Neapolitan",4.5 of 5 bubbles,"2,617 reviews","Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",+1 646-478-7488,https://www.tripadvisor.com//Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf
14,Satis Bistro,212 Washington St,"Jersey City, NJ 07302-4567","$$ - $$$, European, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,170 reviews,"The food is delicious, atmosphere is very appealing.  I thoroughly enjoyed my dinner at Salis Bistro.  Will definitely be back.",+1 201-435-5151,https://www.tripadvisor.com//Restaurant_Review-g46531-d1998962-Reviews-Satis_Bistro-Jersey_City_New_Jersey.html,Check The Website for a Menu
15,Piccola Cucina,184 Prince St,"New York City, NY 10012-2979","$$ - $$$, Italian, European, Sicilian",4.5 of 5 bubbles,"1,045 reviews","A very little restaurant but they provide amazing food and they are the nicest people you will meet. Loved it, would happily come again when in NY!",+1 212-625-3200,https://www.tripadvisor.com//Restaurant_Review-g60763-d1731141-Reviews-Piccola_Cucina-New_York_City_New_York.html,Check The Website for a Menu
16,Scalini Fedeli,165 Duane St,"New York City, NY 10013-3332","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,427 reviews,A quaint romantic restaurant with a excellent food. They bring you things to eat in between courses. Staff is great. Everything we ate was delicious. Great for couples and special occasions.  Will definitely be back.,+1 212-528-0400,https://www.tripadvisor.com//Restaurant_Review-g60763-d424246-Reviews-Scalini_Fedeli-New_York_City_New_York.html,Check The Website for a Menu
17,Orale Mexican Kitchen,341 Grove St,"Jersey City, NJ 07302-2988","$$ - $$$, Mexican, Central American, Southwestern",4.5 of 5 bubbles,167 reviews,We had a dinner and most of us were vegetarian. There were several options and food quantity and service was great.,+1 201-333-0001,https://www.tripadvisor.com//Restaurant_Review-g46531-d4765657-Reviews-Orale_Mexican_Kitchen-Jersey_City_New_Jersey.html,http://www.oralemk.com/hoboken-nj#menus
18,Skinner's Loft,146 Newark Ave,"Jersey City, NJ 07302-2812","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,161 reviews,"We were able to walk there from our hotel in Newport which wasn't bad, and the place looks like a little hole in the wall. But the food we had for lunch was REALLY good. My wife had a chicken salad sandwich that gave her...More",+1 201-915-0600,https://www.tripadvisor.com//Restaurant_Review-g46531-d1062786-Reviews-Skinner_s_Loft-Jersey_City_New_Jersey.html,Check The Website for a Menu
19,Kuu Ramen,20 John St,"New York City, NY 10038-4038","$, Japanese, Soups, Asian",4.5 of 5 bubbles,161 reviews,"Raw pork dumplings 
Ok ramen 
Large portion 
TripAdvisor should take down the reviews
It is misleading and undermines the ratings list",+1 212-571-7177,https://www.tripadvisor.com//Restaurant_Review-g60763-d7890999-Reviews-Kuu_Ramen-New_York_City_New_York.html,Check The Website for a Menu
20,Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345","$$ - $$$, Italian, Seafood, Mediterranean",4.5 of 5 bubbles,166 reviews,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com//Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf
21,The Cheesecake Factory,30 Mall Dr W,"Jersey City, NJ 07310-1615","$$ - $$$, American, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,276 reviews,We were in town for 2 nights to see a  Broadway show in New York.  Our hotel was across the street and we wanted a nice meal. I expect more from The Cheesecake Factory.  The prices suggest and almost demand better service and better quality...More,+1 201-876-5810,https://www.tripadvisor.com//Restaurant_Review-g46531-d9586353-Reviews-The_Cheesecake_Factory-Jersey_City_New_Jersey.html,https://order.thecheesecakefactory.com/menu/jersey-city-nj
22,Bleecker Street Pizza,69 7th Ave S,"New York City, NY 10014-4043","$, Italian, Pizza, Fast Food",4.5 of 5 bubbles,"1,439 reviews","The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why. It was good  and it...More",+1 212-924-4466,https://www.tripadvisor.com//Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html,Check The Website for a Menu
23,Manhatta,28 Liberty St,"New York City, NY 10005-1400","$$$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,308 reviews,"Wow, what a place.  Food was fantastic.  Views are ridiculous.
But what set my visit apart was a specific manager working that night.
The beginning of my experience at the Chef's Table was less than stellar, but then Paris got involved.   I didn't have to...More",+1 212-230-5788,https://www.tripadvisor.com//Restaurant_Review-g60763-d14416742-Reviews-Manhatta-New_York_City_New_York.html,https://www.manhattarestaurant.com/menus/
24,Boucherie West Village,99 7th Ave S,"New York City, NY 10014-3415","$$ - $$$, French, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"1,085 reviews",Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.,+1 212-837-1616,https://www.tripadvisor.com//Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html,Check The Website for a Menu
25,O'Hara's Restaurant and Pub,120 Cedar St,"New York City, NY 10006-1530","$$ - $$$, American, Irish, Bar",4.5 of 5 bubbles,"1,381 reviews","Great location and atmosphere. Food was overall good, onion rings were amazing!  Staff was very friendly and efficient",+1 212-267-3032,https://www.tripadvisor.com//Restaurant_Review-g60763-d528141-Reviews-O_Hara_s_Restaurant_and_Pub-New_York_City_New_York.html,Check The Website for a Menu
26,San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,695 reviews,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com//Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/
27,Blue Smoke Battery Park City,255 Vesey St,"New York City, NY 10282-5800","$$ - $$$, American, Bar, Barbecue",4.5 of 5 bubbles,564 reviews,"We had an exceptional experience dinning at Blue Smoke while on vacation from the UK. We ordered the Rhapsody In 'Cue - so you get a bit of al the meats and we weren't disappointed, everything was outstanding! Full of flavour, we also shared a...More",+1 212-889-2005,https://www.tripadvisor.com//Restaurant_Review-g60763-d3652763-Reviews-Blue_Smoke_Battery_Park_City-New_York_City_New_York.html,Check The Website for a Menu
28,Faicco's Pork Store,260 Bleecker St,"New York City, NY 10014-4128","$, Italian",4.5 of 5 bubbles,351 reviews,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only.  The meats and sausages looked amazing in the butchers counter but we were just in for two hero's and a...More,+1 212-243-1974,https://www.tripadvisor.com//Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu
29,Olio e Piu,3 Greenwich Ave,"New York City, NY 10014-3543","$$ - $$$, Italian, Pizza, Tuscan",4.5 of 5 bubbles,"2,534 reviews","Love this place!!!
The food is amazing, and the atmosphere is so warm! Can’t wait to come back. Ilir you’re the best. Thanks for a delightful evening!",+1 212-243-6546,https://www.tripadvisor.com//Restaurant_Review-g60763-d1878682-Reviews-Olio_e_Piu-New_York_City_New_York.html,Check The Website for a Menu
30,Tamarind - Tribeca,99 Hudson St,"New York City, NY 10013-2815","$$$$, Indian, Asian, Vegetarian Friendly",4.5 of 5 bubbles,711 reviews,The absolute BEST Indian food I have ever had.  Tandoor Topli Na Paneer was amazing! Fine dining with great decor and fabulous service. Highly recommend!,+1 212-775-9000,https://www.tripadvisor.com//Restaurant_Review-g60763-d1985904-Reviews-Tamarind_Tribeca-New_York_City_New_York.html,Check The Website for a Menu
31,La Isla Restaurant,104 Washington St,"Hoboken, NJ 07030-4604","$$ - $$$, Caribbean, Latin, Cuban",4.5 of 5 bubbles,350 reviews,"The experience was horrible.  We dropped in for lunch.  The food was tasteless, the service was slow and lacking in pleasantries.  When the food was delivered to the table it was “thrown” onto the table as opposed to carefully placing in front of the patron....More",+1 201-659-8197,https://www.tripadvisor.com//Restaurant_Review-g46515-d459511-Reviews-La_Isla_Restaurant-Hoboken_New_Jersey.html,Check The Website for a Menu
32,Hobby's Delicatessen & Restaurant,32 Branford Pl,"Newark, NJ 07102-2723","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,227 reviews,Have not been here in a bit of time . . . . Better than ever today . . . ..  can not  oming here for a bite to eat .    SOLID,+1 973-623-0410,https://www.tripadvisor.com//Restaurant_Review-g46671-d2071446-Reviews-Hobby_s_Delicatessen_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
33,Spanish Tavern,103 McWhorter St,"Newark, NJ 07105-1359","$$ - $$$, Seafood, Spanish, Mediterranean",4.5 of 5 bubbles,545 reviews,"Since I was leaving a work assignment in Newark, moving to another part of the country, some workmates and I decided to get together.  We chose the Spanish Tavern.  The food was good and the service was also good.  I would go back again.",+1 973-589-4959,https://www.tripadvisor.com//Restaurant_Review-g46671-d775650-Reviews-Spanish_Tavern-Newark_New_Jersey.html,Check The Website for a Menu
34,Forno's of Spain Restaurant,47 Ferry St,"Newark, NJ 07105-1443","$$ - $$$, Seafood, European, Spanish",4.5 of 5 bubbles,783 reviews,"This place is like the Tardis of restaurants.  You walk in and it's a nice little bar, but then continue on and there are 3 dining rooms that altogether must hold 200 people.  They have good tapas (great grilled octopus), a full menu (with about...More",+1 973-589-4767,https://www.tripadvisor.com//Restaurant_Review-g46671-d510780-Reviews-Forno_s_of_Spain_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
35,Tops Diner,500 Passaic Ave,"East Newark, NJ 07029-2816","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,537 reviews,"My friend and I had lunch at Tops Diner.  When we got our food, there were 2 small pcs of hair on my food.  I called Marla the manager. I asked if the cooks had hair nets and she said yes and just shrugged and...More",+1 973-481-0490,https://www.tripadvisor.com//Restaurant_Review-g46402-d934347-Reviews-Tops_Diner-East_Newark_New_Jersey.html,http://www.thetopsdiner.com/menus/
36,Casa Vasca,141 Elm St,"Newark, NJ 07105-1305","$$ - $$$, Seafood, European, Spanish",4.5 of 5 bubbles,244 reviews,"This Spanish/Basque restaurant is in the Ironbound district but not on Ferry Street. That may make it more of a destinations for locals; I did get to speak Spanish with some men, born in Galicia, eating at the bar. All entrees come with a thick,...More",+1 973-465-1350,https://www.tripadvisor.com//Restaurant_Review-g46671-d510774-Reviews-Casa_Vasca-Newark_New_Jersey.html,Check The Website for a Menu
37,Seabra's Marisqueira,87 Madison St,"Newark, NJ 07105-2107","$$ - $$$, Seafood, European, Portuguese",4 of 5 bubbles,333 reviews,"What good are reservations? Yes we are a large party, but we made reservations TWO MONTHS AGO. We called 2 hours in advance to confirm
 Then they called at 6:30 and they said they couldn't keep our 7pm reservation. Told us they could take us...More",+1 973-465-1250,https://www.tripadvisor.com//Restaurant_Review-g46671-d850547-Reviews-Seabra_s_Marisqueira-Newark_New_Jersey.html,Check The Website for a Menu
38,La Fiamma,440 Harrison Ave,"Harrison, NJ 07029-1781","$$ - $$$, Italian, Vegetarian Friendly",5 of 5 bubbles,79 reviews,This place is not just an Italian Restaurant with red sauce this place has it going on. Everything is prepared with love. The salmon al Fiamma is GREAT! A beautiful mustard cream sauce no over powering hardly taste any mustard but just a wonderful flavor...More,+1 973-483-5455,https://www.tripadvisor.com//Restaurant_Review-g46494-d4915859-Reviews-La_Fiamma-Harrison_New_Jersey.html,Check The Website for a Menu
39,Krug's Tavern,118 Wilson Ave,"Newark, NJ 07105-3325","$, American, Bar, Pub",4.5 of 5 bubbles,135 reviews,"Arrogant of me to say that, huh?
So, it's true, I haven't tried EVERY cheeseburger in the world, but now that Poag Mahone's in Chicago seems to have closed, I don't have to think twice about where to find the best one in the country....More",+1 973-465-9795,https://www.tripadvisor.com//Restaurant_Review-g46671-d554458-Reviews-Krug_s_Tavern-Newark_New_Jersey.html,Check The Website for a Menu
40,Don Pepe Restaurant,844 McCarter Hwy,"Newark, NJ 07102-5209","$$ - $$$, Seafood, European, Spanish",4 of 5 bubbles,325 reviews,"Very tasty food, excellent service!!! All the experience in this restaurant is fantastic! 
Mister Alex is the best! He take care of all our requests!",+1 973-623-4662,https://www.tripadvisor.com//Restaurant_Review-g46671-d459233-Reviews-Don_Pepe_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
41,Casa d' Paco,73 Warwick St,"Newark, NJ 07105-1613","$$ - $$$, Bar, European, Spanish",4.5 of 5 bubbles,76 reviews,"Love everything about this place. Jose the Barman is super friendly and makes you feel at home. Bar and food are authentically Spanish, not the usual Newark fare. The tapas is awesome, the calamares is one of best I’ve had. Good for casual drinks with...More",+1 862-307-9466,https://www.tripadvisor.com//Restaurant_Review-g46671-d4617711-Reviews-Casa_d_Paco-Newark_New_Jersey.html,Check The Website for a Menu
42,Fernandes 2 Steak House,158 Fleming Ave,"Newark, NJ 07105-4008","$$ - $$$, Steakhouse, Spanish, Portuguese",4 of 5 bubbles,259 reviews,We had Steak and seafood paella which was fantastic. The service was great and the Sangria is perfect compliment to the meal.,+1 973-589-4344,https://www.tripadvisor.com//Restaurant_Review-g46671-d510779-Reviews-Fernandes_2_Steak_House-Newark_New_Jersey.html,Check The Website for a Menu
43,Mompou Tapas Bar & Restaurant,77 Ferry St,"Newark, NJ 07105-1821","$$ - $$$, European, Spanish, Mediterranean",4.5 of 5 bubbles,159 reviews,"They have great, waitress are nice. it is nice place to hang out, have very good time with friend or family.",+1 973-578-8114,https://www.tripadvisor.com//Restaurant_Review-g46671-d1050627-Reviews-Mompou_Tapas_Bar_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
44,Dinosaur Bar-B-Que,224 Market St,"Newark, NJ 07102-3708","$$ - $$$, American, Bar, Barbecue",4 of 5 bubbles,506 reviews,"My party of 10 people came here on Saturday this past weekend, and we were absolutely amazed to say the least!! Our waiter was on top of his game and was very efficient getting our order in on a decent time. The food once we...More",+1 862-214-6100,https://www.tripadvisor.com//Restaurant_Review-g46671-d3190714-Reviews-Dinosaur_Bar_B_Que-Newark_New_Jersey.html,Check The Website for a Menu
45,Aviation Grill,1 Hotel Rd,"Newark, NJ 07114-3513","$$ - $$$, American, Bar, Gluten Free Options",4 of 5 bubbles,147 reviews,Our food came out hot and delicious. The sandwiches were flavorful and delicious. The fries were also hot and delicious. Service was quick and friendly.,+1 973-623-0006,https://www.tripadvisor.com//Restaurant_Review-g46671-d5420781-Reviews-Aviation_Grill-Newark_New_Jersey.html,Check The Website for a Menu
46,Portucale Restaurant,129 Elm St,"Newark, NJ 07105-1305","$$ - $$$, Seafood, European, Portuguese",4.5 of 5 bubbles,85 reviews,"Stopped by this unassuming place on a weekday night last week while on a biz trip to NJ.  Love eating in the Ironbound section of Newark and had never tried this place.  Sat at the bar with all locals.  Bartender, who doubled as the waitress,...More",+1 973-344-4407,https://www.tripadvisor.com//Restaurant_Review-g46671-d4713520-Reviews-Portucale_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
47,Luigi's Italian Restaurant,561 Bloomfield Ave,"Newark, NJ 07107-1327","$$ - $$$, Italian",4.5 of 5 bubbles,75 reviews,"Went to Luigi's for the first time yesterday. It is a quaint, old time Italian restaurant. Had a salad which was good.  The Fried Calamari were excellent. Light coating and cooked perfectly.  My friend had spaghetti with olive oil and garlic.  He was it was...More",+1 973-481-9696,https://www.tripadvisor.com//Restaurant_Review-g46671-d2231126-Reviews-Luigi_s_Italian_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
48,Sol-Mar Restaurtant,267 Ferry St,"Newark, NJ 07105-3217","$$ - $$$, Seafood, European, Portuguese",4 of 5 bubbles,147 reviews,The food here was very tasty and the waitstaff was friendly and attentive. We celebrated my mother's 83rd birthday and they allowed us to bring in our own cake and stored it until we were ready to eat it. They also joined in in singing...More,+1 973-344-3041,https://www.tripadvisor.com//Restaurant_Review-g46671-d559658-Reviews-Sol_Mar_Restaurtant-Newark_New_Jersey.html,Check The Website for a Menu
49,Adega Grill,130 Ferry St,"Newark, NJ 07105-2115","$$ - $$$, Seafood, Portuguese",4 of 5 bubbles,160 reviews,"I have been to the Adega Grill before and thought it was time to review it again. The food, service and ambiance, as always, consistently surpassed my expectations: The secrets to Adega’s success are fresh ingredients, cooked in a well-run kitchen with tons of culinary...More",+1 973-589-8830,https://www.tripadvisor.com//Restaurant_Review-g46671-d2712462-Reviews-Adega_Grill-Newark_New_Jersey.html,Check The Website for a Menu
50,Spanish Pavillion,31 Harrison Ave,"Harrison, NJ 07029-1343","$$ - $$$, Spanish, Seafood, European",4.5 of 5 bubbles,127 reviews,I had the garlic shrimp over rice with a side salad. It was delicious and we loved the crispy bread that came with our entrees. My sister had the skirt steak salad and we shared bites of each other’s entrees. The skirt steak was cooked...More,+1 973-485-7750,https://www.tripadvisor.com//Restaurant_Review-g46494-d935226-Reviews-Spanish_Pavillion-Harrison_New_Jersey.html,Check The Website for a Menu
51,Bellos Pub and Grill,376 Market St,"Newark, NJ 07105-2210","$$ - $$$, American, Bar, Pub",4.5 of 5 bubbles,58 reviews,Great pub just opposite Newark Penn station. I walked in and was surprised by the variety of beers on offer. I had not seen Pabst Blue Ribbon on tap for a long time. The waitresses were both very helpful and knowledgeable - they gave me...More,+1 973-465-0052,https://www.tripadvisor.com//Restaurant_Review-g46671-d2702055-Reviews-Bellos_Pub_and_Grill-Newark_New_Jersey.html,Check The Website for a Menu
52,Portugalia Restaurant,280 Ferry St,"Newark, NJ 07105-3407","$$ - $$$, European, Portuguese",4.5 of 5 bubbles,52 reviews,"Good food and good service. Took a little while longer than expected to come out for sitting at the bar, however, the food was good. Not spectacular, good. 2 drinks and 2 meals with dessert for under $70. Order the sucking pig. Chicken with shrimp...More",+1 973-465-0696,https://www.tripadvisor.com//Restaurant_Review-g46671-d3226099-Reviews-Portugalia_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
53,Dickie Dee's,380 Bloomfield Ave,"Newark, NJ 07107-4402","$, Italian, Pizza, American",4.5 of 5 bubbles,50 reviews,"Been goin to Dickie Dees for over 40 years.  I moved away from the area and had not been back for some time.  Well, after quite a long sabbatical, I took advantage of an early arrival in town and braved the cold weather to head...More",+1 973-483-9396,https://www.tripadvisor.com//Restaurant_Review-g46671-d548759-Reviews-Dickie_Dee_s-Newark_New_Jersey.html,Check The Website for a Menu
54,Mercato Tomato Pie,212 Market St,"Newark, NJ 07102-3708","$$ - $$$, Pizza, Italian, Vegetarian Friendly",4 of 5 bubbles,78 reviews,I have to say I was disappointed. Ordered a small Margarita pizza ($16.00)...have read glowing reviews and was awaiting an exceptional pie. What I got was an average at best pizza.. cheese was ok...just not enough...crust better than average...but the most important main ingredient failed...More,+1 973-424-9000,https://www.tripadvisor.com//Restaurant_Review-g46671-d7274145-Reviews-Mercato_Tomato_Pie-Newark_New_Jersey.html,http://mercatotomatopie.com/newark-pizza-menu/
55,Chateau of Spain Restaurant,11 Franklin St,"Newark, NJ 07102-3503","$$ - $$$, American, Spanish, Vegetarian Friendly",4 of 5 bubbles,88 reviews,"I have frequented this restaurant several times. They have an excellent food and drink selection, and the service is spot on.",+1 973-624-3346,https://www.tripadvisor.com//Restaurant_Review-g46671-d1473831-Reviews-Chateau_of_Spain_Restaurant-Newark_New_Jersey.html,Check The Website for a Menu
56,Marcus B & P,56 Halsey St,"Newark, NJ 07102-3028","$$ - $$$, American, Vegetarian Friendly",4.5 of 5 bubbles,52 reviews,Superb meal...loved the pizza and awesome fried chicken. The drink menu was also excellent. We'd come back in a heartbeat...truly a hidden gem.,+1 973-645-0004,https://www.tripadvisor.com//Restaurant_Review-g46671-d13153771-Reviews-Marcus_B_P-Newark_New_Jersey.html,Check The Website for a Menu
57,Sabor Unido,77 Jefferson St,"Newark, NJ 07105-1818","$$ - $$$, Portuguese, South American, Brazilian",4.5 of 5 bubbles,38 reviews,"Been here a couple of times.  Not sure if undergone new management.  Looks like they've moved furnishings around since my last visit.  Nevertheless, this place always serves good consistent quality meals with generous servings in a cozy homey atmosphere.  I love their food - delicious,...More",+1 973-368-8553,https://www.tripadvisor.com//Restaurant_Review-g46671-d5077187-Reviews-Sabor_Unido-Newark_New_Jersey.html,http://www.saborunido.com/menu
58,Hamburgao,288 Lafayette St,"Newark, NJ 07105-2122","$, Brazilian, Fast Food, South American",4.5 of 5 bubbles,44 reviews,"Decided to try this place as my partner is Brazilian. It isn’t a burger bar, instead a very good steak sandwich cafeteria. The meat is picanha which is a sirloin steak. The quality of the meat was excellent and the sandwiches are very well made....More",+1 973-465-1776,https://www.tripadvisor.com//Restaurant_Review-g46671-d1067820-Reviews-Hamburgao-Newark_New_Jersey.html,Check The Website for a Menu
