,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
15,Lecosho,89 University St,"Seattle, WA 98101-2918","$$ - $$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,379 reviews,"I didn’t get a sense of this place with the odd name.  For lack of any definitive impression, I’ll give Lecosho 4 stars.  I had the Catfish special for lunch.  All I could taste was hot sauce.  The fish had no flavor.  Everything was overwhelmed...More",+1 206-623-2101,https://www.tripadvisor.com//Restaurant_Review-g60878-d1917385-Reviews-Lecosho-Seattle_Washington.html,Check The Website for a Menu
16,Bacco Cafe,86 Pine St,"Seattle, WA 98101-1531","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,972 reviews,Very popular breakfast spot where you’ll probably have to wait in line for a table. Great coffee and espresso along with a partial bar serving mimosas etc. we enjoyed the Bacco breakfast and breakfast burrito plus 2 coffees. Tab without tax or gratuity came to...More,+1 206-355-8887,https://www.tripadvisor.com//Restaurant_Review-g60878-d432704-Reviews-Bacco_Cafe-Seattle_Washington.html,Check The Website for a Menu
17,Radiator Whiskey,94 Pike St Ste 30,"Seattle, WA 98101-2066","$$ - $$$, American, Bar",4.5 of 5 bubbles,268 reviews,"You have to book - this place is tiny. We are so glad we did. The menu is imaginative (mostly pork based) and the food excellent. We loved the spicy, sticky pork belly for starter and the crispy pork shank I had for entree was...More",+1 206-467-4268,https://www.tripadvisor.com//Restaurant_Review-g60878-d4553857-Reviews-Radiator_Whiskey-Seattle_Washington.html,Check The Website for a Menu
18,Fogon Cocina Mexicana,600 E Pine St,"Seattle, WA 98122-2324","$$ - $$$, Mexican, Latin, Vegetarian Friendly",4.5 of 5 bubbles,168 reviews,"OK, let's get this out of the way first: I adore this place. This very well may be the best value Mexican restaurant in the Pacific Northwest. The nachos with shredded beef were so packed with deliciousness and so perfectly composed that I would not...More",+1 206-320-7777,https://www.tripadvisor.com//Restaurant_Review-g60878-d3657850-Reviews-Fogon_Cocina_Mexicana-Seattle_Washington.html,http://fogonseattle.com#wrapperfoodmenu
19,Bizzarro Italian Cafe,1307 N 46th St,"Seattle, WA 98103-6709","$$ - $$$, Italian, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,233 reviews,We were a little hesitant to try this place since it gets really mixed reviews on yelp. We walked in and put our name on the list for our 45 minutes wait. We waited maybe 20 mins and got seated. I ordered the pumpkin ravioli...More,+1 206-632-7277,https://www.tripadvisor.com//Restaurant_Review-g60878-d432142-Reviews-Bizzarro_Italian_Cafe-Seattle_Washington.html,Check The Website for a Menu
20,Shuckers Oyster Bar,411 University St,"Seattle, WA 98101-2507","$$ - $$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,973 reviews,we stayed at the fairmont so used this one night just at the bar. Brent the bartender was personable and made his own special drinks you don't get elsewhere (from reading speakeasy recipes). We had dinner a second night and it was pretty good fair...More,+1 206-621-1700,https://www.tripadvisor.com//Restaurant_Review-g60878-d432669-Reviews-Shuckers_Oyster_Bar-Seattle_Washington.html,Check The Website for a Menu
21,8oz Burger & Co,1401 Broadway,"Seattle, WA 98122-3854","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,240 reviews,"We were one our way to Canada and just passed by, but we're hungry. Service was perfect, hamburgers great, all you can expect if you have a burger.
The toddler got some carrots as a side order.",+1 206-466-5989,https://www.tripadvisor.com//Restaurant_Review-g60878-d2639411-Reviews-8oz_Burger_Co-Seattle_Washington.html,http://8ozburgerandco.com/#menu-section
22,Six Seven Restaurant,2411 Alaskan Way,"Seattle, WA 98121-1313","$$$$, Seafood, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,123 reviews","We met our daughter and her boyfriend for brunch here. Reserved a window seat and had a beautiful view of the water on a rare sunny day ! 
Service was great and so was the food!",+1 206-269-4575,https://www.tripadvisor.com//Restaurant_Review-g60878-d433088-Reviews-Six_Seven_Restaurant-Seattle_Washington.html,https://www.edgewaterhotel.com/seattle-six-seven-restaurant.aspx
23,Cactus Restaurant,2820 Alki Ave SW,"Seattle, WA 98116-2788","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,261 reviews,"We have been to both the South Lake Union and the West Seattle locations.  Both are terrific, with delicious food, good service, and great atmosphere.  Reasonably priced.",+1 206-933-6000,https://www.tripadvisor.com//Restaurant_Review-g60878-d636863-Reviews-Cactus_Restaurant-Seattle_Washington.html,Check The Website for a Menu
24,Andaluca Restaurant,407 Olive Way,"Seattle, WA 98101","$$$$, Mediterranean, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,708 reviews,"Perhaps they were just a bit ""off-game"" right after the Holiday and New Years rush. Went Jan 2nd for my birthday, before theater. Nice atmosphere; fairly pricey. The paella was pretty overdone, with blackish/burnt spots and very tough/chewy shrimp. Started with bread service and then...More",+1 206-382-6999,https://www.tripadvisor.com//Restaurant_Review-g60878-d432630-Reviews-Andaluca_Restaurant-Seattle_Washington.html,Check The Website for a Menu
25,Assaggio Ristorante,2010 4th Ave,"Seattle, WA 98121-2415","$$ - $$$, Italian, Northern-Italian, Vegetarian Friendly",4.5 of 5 bubbles,910 reviews,Very good Itialian. Good wine selection and entrees were excellent. You can get a pasta sampler with choice of three of their pastas so you don't have to pick just one. Service was superb.,+1 206-441-1399,https://www.tripadvisor.com//Restaurant_Review-g60878-d432629-Reviews-Assaggio_Ristorante-Seattle_Washington.html,Check The Website for a Menu
26,The Walrus and the Carpenter,4743 Ballard Ave NW,"Seattle, WA 98107-4844","$$ - $$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,496 reviews,We showed up at just after 4:30 on a Saturday and were not sure if we would get seated anytime soon. Luckily we immediately got a seat at the oyster bar. This was just pre-dinner oysters. They were all delicious ( we got a dozen)....More,+1 206-395-9227,https://www.tripadvisor.com//Restaurant_Review-g60878-d2191178-Reviews-The_Walrus_and_the_Carpenter-Seattle_Washington.html,https://www.thewalrusbar.com/menu
27,Market Grill,1509 Pike Pl Ste 3,"Seattle, WA 98101-1526","$$ - $$$, American, Seafood, Soups",4.5 of 5 bubbles,248 reviews,"Fresh soup, fresh fish cooked in front you on the grill. The place is rustic but the food is so simple and natural that you get all the flavors",+1 206-682-2654,https://www.tripadvisor.com//Restaurant_Review-g60878-d479783-Reviews-Market_Grill-Seattle_Washington.html,Check The Website for a Menu
28,The Georgian,411 University St,"Seattle, WA 98101-2507","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,370 reviews,My wife and I visited The Georgian for breakfast at 11 am on a Monday. The restaurant was busy and we were greeted by our server 10 minutes after being seated. My wife is vegan and the only option for her was a side of...More,+1 206-621-7889,https://www.tripadvisor.com//Restaurant_Review-g60878-d432600-Reviews-The_Georgian-Seattle_Washington.html,Check The Website for a Menu
29,Whole Foods Market,2210 Westlake Ave,"Seattle, WA 98121-2713","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,157 reviews,"this may be my worst review I've ever left here.  I'm usually interested in telling folks about great things to do and see. I apologize that my positive is on pause for this.   

On the plus..I would say that the grocery portion of the store...More",+1 206-621-9700,https://www.tripadvisor.com//Restaurant_Review-g60878-d7304033-Reviews-Whole_Foods_Market-Seattle_Washington.html,Check The Website for a Menu
30,Toulouse Petit Kitchen & Lounge,601 Queen Anne Ave N,"Seattle, WA 98109-4013","$$ - $$$, American, Cajun & Creole, Vegetarian Friendly",4.5 of 5 bubbles,"1,578 reviews",I loved everything about this restaurant. Like walking into a magical grotto. Worth coming to USA for!! Our dishes were all delicious (Catalan prawns yum!) but the Cauliflower Leeks and Asparagus Vicyssoise is one of the best things I have ever eaten. My signature cocktail...More,+1 206-432-9069,https://www.tripadvisor.com//Restaurant_Review-g60878-d1635070-Reviews-Toulouse_Petit_Kitchen_Lounge-Seattle_Washington.html,Check The Website for a Menu
31,Rusty Moose,9105 W Highway 2,"Spokane, WA 99224","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,723 reviews,"I had the chance to stop in and check out the Rusty Moose just before a flight out of Spokane Airport. It was a Sunday and I was there for lunch. The Rusty Moose reminded me of the log cabins, cottage life,  and country homes...More",+1 509-747-5579,https://www.tripadvisor.com//Restaurant_Review-g58759-d1230864-Reviews-Rusty_Moose-Spokane_Washington.html,http://www.rustymoosespokane.com
32,Wild Sage American Bistro,916 W 2nd Ave,"Spokane, WA 99201-4502","$$$$, American, Fusion, Vegetarian Friendly",4.5 of 5 bubbles,972 reviews,"A super nice restaurant for special occasions, this is one of our top favorites in the greater Spokane area.  

The specials included Flank Steak which had a scrumptious marinade and rested on a bed of Yukon potatoes and dressed arugula.  Unbelievable taste!!  The Wild Sage...More",+1 509-456-7575,https://www.tripadvisor.com//Restaurant_Review-g58759-d827170-Reviews-Wild_Sage_American_Bistro-Spokane_Washington.html,Check The Website for a Menu
33,Frank's Diner,1516 W 2nd Ave,"Spokane, WA 99201-7020","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,"1,541 reviews","I love Frank’s. I often take local visitors for breakfast. Their meals are only overshadowed by theirs service. Gage, a server on 2nd Avenue, is a server who sets the standard for server excellence,",+1 509-747-8798,https://www.tripadvisor.com//Restaurant_Review-g58759-d413499-Reviews-Frank_s_Diner-Spokane_Washington.html,Check The Website for a Menu
34,Italia Trattoria,144 S Cannon St,"Spokane, WA 99201-7673","$$ - $$$, Italian, European, Healthy",4.5 of 5 bubbles,271 reviews,"We got there as soon as they opened (5pm) on a Thursday night. It’s a small restaurant, but it looks like they can put quite a few people in there. Call for reservations to be safe. Everyone was dressed pretty casual. The food was excellent...More",+1 509-459-6000,https://www.tripadvisor.com//Restaurant_Review-g58759-d1892751-Reviews-Italia_Trattoria-Spokane_Washington.html,Check The Website for a Menu
35,Mizuna Restaurant & Wine Bar,214 N Howard St,"Spokane, WA 99201-0805","$$ - $$$, American, Wine Bar, Contemporary",4.5 of 5 bubbles,513 reviews,"Mizuna's two menus -- vegetarian and omnivore -- offer everybody a dazzling wealth of choices. Each dish includes multiple ingredients in intriguing combinations.  Though complex, the food is also amazingly hearty.  The four of us started with one order of the chicken and shiitake lettuce...More",+1 509-747-2004,https://www.tripadvisor.com//Restaurant_Review-g58759-d413254-Reviews-Mizuna_Restaurant_Wine_Bar-Spokane_Washington.html,Check The Website for a Menu
36,The Flying Goat,3318 W Northwest Blvd,"Spokane, WA 99205-2142","$$ - $$$, Bar, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,489 reviews,"Foreigners are not permitted. Although every form of legal European identification was provided except a passport, the border protection expert that was serving judged someone in our party to possibly be younger than 21 although he’s 36 and we were rejected service. First establisment that...More",+1 509-327-8277,https://www.tripadvisor.com//Restaurant_Review-g58759-d1811450-Reviews-The_Flying_Goat-Spokane_Washington.html,Check The Website for a Menu
37,Clinkerdagger,West 621 Mallon Street,"Spokane, WA 99201-2154","$$$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,"1,100 reviews",We reserved a table for Valentine's Day dinner.  Hard to find spot so we were 20 minutes late.  That was no problem for staff abd we were seated immediately.  I ordered filet mignon.  Wife ordered Maine lobster tail(s).  I also had lobster bisque...as did wife....More,+1 509-328-5965,https://www.tripadvisor.com//Restaurant_Review-g58759-d413253-Reviews-Clinkerdagger-Spokane_Washington.html,Check The Website for a Menu
38,Bistango Martini Lounge,108 N Post St,"Spokane, WA 99201-0907","$$ - $$$, Bar, American",5 of 5 bubbles,111 reviews,Celebrated recovery of lost luggage. Followed TA reviews to this martini bar early evening. Friendly staff but short handed. Atmosphere convivial but austere. Burgers ok but condiments limited.More,+1 509-624-8464,https://www.tripadvisor.com//Restaurant_Review-g58759-d2320863-Reviews-Bistango_Martini_Lounge-Spokane_Washington.html,Check The Website for a Menu
39,Davenport Hotel Collection,10 S Post St,"Spokane, WA 99201-3902","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,201 reviews,"LOVED the Davenport when it was independent, and still love it as part of Marriott. We have been coming here for over 20 years and they never cease to amaze me with their kindness and attention to detail! From the night staff who unlocked the...More",+1 509-455-8888,https://www.tripadvisor.com//Restaurant_Review-g58759-d5490192-Reviews-Davenport_Hotel_Collection-Spokane_Washington.html,Check The Website for a Menu
40,Clover,913 E Sharp Ave,"Spokane, WA 99202-1936","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,266 reviews,"What a great find. The food was excellent, the staff were very attentive and courteous. If visiting Spokane, Clover is a must !!",+1 509-487-2937,https://www.tripadvisor.com//Restaurant_Review-g58759-d3197160-Reviews-Clover-Spokane_Washington.html,Check The Website for a Menu
41,Peacock Room Lounge,10 S Post St,"Spokane, WA 99201","$$ - $$$, American, Bar",4.5 of 5 bubbles,215 reviews,Wonderfully restored classic hotel with several dining options. We met in the Peacock for drinks & had dinner in the Palm Court.,+1 509-789-6848,https://www.tripadvisor.com//Restaurant_Review-g58759-d2455138-Reviews-Peacock_Room_Lounge-Spokane_Washington.html,Check The Website for a Menu
42,Churchill's Steakhouse,165 S Post St,"Spokane, WA 99201-4100","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,415 reviews,This is a real find... the kind of old-school one-of-a-kind joint that wouldn't still exist in bigger cities where there's more competition (aka national steakhouse chains). It's just a block or so from the Davenport hotels so the location is great. The main floor looked...More,+1 509-474-9888,https://www.tripadvisor.com//Restaurant_Review-g58759-d1072898-Reviews-Churchill_s_Steakhouse-Spokane_Washington.html,Check The Website for a Menu
43,Safari Room Fresh Grill and Bar,111 S Post St,"Spokane, WA 99201-6021","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,334 reviews,"This bustling spot has very good good with quasi comfortable seating (unless you are among the chosen few to grab a booth).
I highly recommend to spicy shrimp flatbread.  The wine choices are pleasing too.",+1 509-789-6800,https://www.tripadvisor.com//Restaurant_Review-g58759-d797928-Reviews-Safari_Room_Fresh_Grill_and_Bar-Spokane_Washington.html,Check The Website for a Menu
44,Tomato Street,6220 N Division St,"Spokane, WA 99208-1032","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,348 reviews,"We have made a point of going here for lunch every time we have been in Spokane for the last 8-9 years. It has always been delicious, and the service has been fast and friendly. It is just a fun place to go. And it...More",+1 509-484-4500,https://www.tripadvisor.com//Restaurant_Review-g58759-d509758-Reviews-Tomato_Street-Spokane_Washington.html,Check The Website for a Menu
45,Satellite Diner & Lounge,425 W Sprague Ave,"Spokane, WA 99201-3712","$, American, Bar, Diner",4.5 of 5 bubbles,270 reviews,"The ""Hot Mess"" was fantastic!
Great waitstaff good breakfast vibe.
The TV memes are hysterical! 🤣🤣",+1 509-624-3952,https://www.tripadvisor.com//Restaurant_Review-g58759-d413278-Reviews-Satellite_Diner_Lounge-Spokane_Washington.html,http://www.satellitediner.com/menu.html
46,Anthony's at Spokane Falls,510 N Lincoln St,"Spokane, WA 99201-2122","$$ - $$$, Seafood, American, Vegetarian Friendly",4 of 5 bubbles,923 reviews,Excellent service. The food was great. Five start treatment. Espectacular location by the river. Will definitely recommend it.More,+1 509-328-9009,https://www.tripadvisor.com//Restaurant_Review-g58759-d595414-Reviews-Anthony_s_at_Spokane_Falls-Spokane_Washington.html,Check The Website for a Menu
47,Elk Public House,1931 W Pacific Ave,"Spokane, WA 99201-7625","$$ - $$$, American, Bar, International",4 of 5 bubbles,282 reviews,"I enjoyed a great lunch of spicy gumbo and Caesar salad. Attentive service, pleasant surroundings. I look forward to visiting again when I visit.",+1 509-363-1973,https://www.tripadvisor.com//Restaurant_Review-g58759-d413298-Reviews-Elk_Public_House-Spokane_Washington.html,Check The Website for a Menu
48,Spencer's for Steaks and Chops,322 N Spokane Falls Ct,"Spokane, WA 99201-0238","$$$$, American, Steakhouse, Bar",4.5 of 5 bubbles,250 reviews,"Very efficient business lunch!  Waitress was prompt, efficient and not disruptive or over bearing.  The food was just what you hope it would be.",+1 509-744-2372,https://www.tripadvisor.com//Restaurant_Review-g58759-d413275-Reviews-Spencer_s_for_Steaks_and_Chops-Spokane_Washington.html,Check The Website for a Menu
49,Old European Restaurant,7640 N Division St,"Spokane, WA 99208-5614","$$ - $$$, German, European, Vegetarian Friendly",4.5 of 5 bubbles,236 reviews,"Food was pretty good but it’s unbelievably loud. Felt like a cafeteria with people screaming over one another. Made it hard to have a conversation, which kind of ruined the meal. Acoustics could be fixed. 😒",+1 509-467-5987,https://www.tripadvisor.com//Restaurant_Review-g58759-d413599-Reviews-Old_European_Restaurant-Spokane_Washington.html,Check The Website for a Menu
50,Rusty Moose,9105 W Highway 2,"Spokane, WA 99224","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,723 reviews,"I had the chance to stop in and check out the Rusty Moose just before a flight out of Spokane Airport. It was a Sunday and I was there for lunch. The Rusty Moose reminded me of the log cabins, cottage life,  and country homes...More",+1 509-747-5579,https://www.tripadvisor.com//Restaurant_Review-g58759-d1230864-Reviews-Rusty_Moose-Spokane_Washington.html,http://www.rustymoosespokane.com
51,Dolly's Corner Cafe,1825 N Washington St,"Spokane, WA 99205-4758","$$ - $$$, American, Cafe, Diner",4.5 of 5 bubbles,96 reviews,Stopped in because of another TripAdvisor review.  I was in town for my Dad’s  heart Surgery.  The food was fantastic!  I had the Chicken Fried Steak. Equally great was the classic atmosphere and the conversation with Travis and Gabe!  Highly recommend!,+1 509-326-0386,https://www.tripadvisor.com//Restaurant_Review-g58759-d413507-Reviews-Dolly_s_Corner_Cafe-Spokane_Washington.html,Check The Website for a Menu
52,Frank's Diner,10929 N Newport Hwy,"Spokane, WA 99218-1647","$$ - $$$, American, Diner, Gluten Free Options",4.5 of 5 bubbles,147 reviews,"If your in Spokane, this is a must go place. Set in a historical railroad dining car, the place is small but with great food. Primarily specializing in breakfast, there are a variety of items on the menu. My wife had a burger with fries,...More",+1 509-465-2464,https://www.tripadvisor.com//Restaurant_Review-g58759-d4885579-Reviews-Frank_s_Diner-Spokane_Washington.html,http://franksdiners.com/wp-content/uploads/2019/01/franks_menu1119.pdf
53,The Wandering Table,1242 W Summit Pkwy,"Spokane, WA 99201-7003","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,184 reviews,"Menu is about eclectic, but outstanding! Menu item descriptions do not do them justice. The steelhead dinner was a flavor explosion! Mix the sauce with the crunchy rice cake and spicy pickled something wonderful and add a piece cucumber and salmon to make the perfect...More",+1 509-443-4410,https://www.tripadvisor.com//Restaurant_Review-g58759-d6716322-Reviews-The_Wandering_Table-Spokane_Washington.html,Check The Website for a Menu
54,O'Doherty's Irish Grille,525 W Spokane Falls Blvd,"Spokane, WA 99201-0806","$$ - $$$, Irish, Bar, Pub",4 of 5 bubbles,205 reviews,"The traditional bar singing, dollar bills on the wall, fun staff great drinks. Fish and chip and the shepherds pie are my suggestions.",+1 509-747-0322,https://www.tripadvisor.com//Restaurant_Review-g58759-d413370-Reviews-O_Doherty_s_Irish_Grille-Spokane_Washington.html,Check The Website for a Menu
55,Palm Court Grill,10 S Post St,"Spokane, WA 99201-3902","$$$$, American, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,310 reviews,"We ate here for lunch one afternoon and we really enjoyed it. The food is a little pricey but
it is worth it. The entrees are beautiful as well as delicious. It is a wonderful lunch memory for all of us and we will be...More",+1 509-789-6848,https://www.tripadvisor.com//Restaurant_Review-g58759-d413332-Reviews-Palm_Court_Grill-Spokane_Washington.html,Check The Website for a Menu
56,Wisconsinburger,916 S Hatch St,"Spokane, WA 99202-2500","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,212 reviews,I love Wisconsin cheddar cheese and the Green Bay Packers so had to give this place a try while in the area. I ordered a simple cheddar cheese burger with carmelized onions and fries. When served I thought my order had been mistakenly put in...More,+1 509-241-3083,https://www.tripadvisor.com//Restaurant_Review-g58759-d6872538-Reviews-Wisconsinburger-Spokane_Washington.html,http://wisconsinburger.com/menu.html
57,Downriver Grill,3315 W Northwest Blvd,"Spokane, WA 99205-2143","$$ - $$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,179 reviews,"This was the least favorite of the 3 dinner restaurants that I went to during my Spokane visit this week.

Don’t get me wrong, the food was OK but not spectacular. Service was incredibly friendly but lacking in timeliness and visits.

I ordered the steamed...More",+1 509-323-1600,https://www.tripadvisor.com//Restaurant_Review-g58759-d413263-Reviews-Downriver_Grill-Spokane_Washington.html,Check The Website for a Menu
