,Name,Street Address,Location,Type,Reviews,No of Reviews,Contact Number,Trip_advisor Url,Menu
10,Karl Strauss Brewing Company,600 Wilshire Blvd,"Los Angeles, CA 90017-3212","$$ - $$$, American, Brew Pub, Bar",4.5 of 5 bubbles,112 reviews,+1 213-228-2739,https://www.tripadvisor.com//Restaurant_Review-g32655-d11829076-Reviews-Karl_Strauss_Brewing_Company-Los_Angeles_California.html,Check The Website for a Menu
11,Tatsu Ramen,2123 Sawtelle Blvd,"Los Angeles, CA 90025-6200","$$ - $$$, Japanese, Asian, Soups",4.5 of 5 bubbles,159 reviews,+1 310-684-2889,https://www.tripadvisor.com//Restaurant_Review-g32655-d4178694-Reviews-Tatsu_Ramen-Los_Angeles_California.html,http://www.tatsuramen.com/#module-menu
12,Sushi Gen,422 E 2nd St,"Los Angeles, CA 90012-4209","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,477 reviews,+1 213-617-0552,https://www.tripadvisor.com//Restaurant_Review-g32655-d364705-Reviews-Sushi_Gen-Los_Angeles_California.html,Check The Website for a Menu
13,Cafe Gratitude,512 Rosemont Ave,"Los Angeles, CA 90026-4032","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,409 reviews,001-424-231-8000,https://www.tripadvisor.com//Restaurant_Review-g32655-d3458135-Reviews-Cafe_Gratitude-Los_Angeles_California.html,http://cafegratitude.com#summer_menu
14,Genwa Korean BBQ,5115 Wilshire Blvd Ste A,"Los Angeles, CA 90036-4366","$$ - $$$, Barbecue, Asian, Korean",4.5 of 5 bubbles,190 reviews,+1 323-549-0760,https://www.tripadvisor.com//Restaurant_Review-g32655-d1994657-Reviews-Genwa_Korean_BBQ-Los_Angeles_California.html,Check The Website for a Menu
15,Langer's,704 S Alvarado St,"Los Angeles, CA 90057-4020","$$ - $$$, American, Diner, Deli",4.5 of 5 bubbles,820 reviews,+1 213-483-8050,https://www.tripadvisor.com//Restaurant_Review-g32655-d364756-Reviews-Langer_s-Los_Angeles_California.html,Check The Website for a Menu
16,Parkway Grill,510 S Arroyo Pkwy,"Pasadena, CA 91105-2520","$$$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,334 reviews,+1 626-795-1001,https://www.tripadvisor.com//Restaurant_Review-g32859-d343318-Reviews-Parkway_Grill-Pasadena_California.html,Check The Website for a Menu
17,Magic Castle,7001 Franklin Ave,"Los Angeles, CA 90028-8600","$$$$, American, Vegetarian Friendly",4.5 of 5 bubbles,399 reviews,+1 323-851-3313,https://www.tripadvisor.com//Restaurant_Review-g32655-d941518-Reviews-Magic_Castle-Los_Angeles_California.html,Check The Website for a Menu
18,Nickel Diner,524 S Main St,"Los Angeles, CA 90013-1422","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,290 reviews,+1 213-623-8301,https://www.tripadvisor.com//Restaurant_Review-g32655-d1591286-Reviews-Nickel_Diner-Los_Angeles_California.html,Check The Website for a Menu
19,Redbird,114 E 2nd St,"Los Angeles, CA 90012-3711","$$$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,259 reviews,+1 213-788-1191,https://www.tripadvisor.com//Restaurant_Review-g32655-d7617914-Reviews-Redbird-Los_Angeles_California.html,Check The Website for a Menu
20,Pampas Grill,6333 W 3rd St,"Los Angeles, CA 90036-3109","$, Brazilian, Latin, Barbecue",4.5 of 5 bubbles,313 reviews,+1 323-934-6680,https://www.tripadvisor.com//Restaurant_Review-g32655-d2146116-Reviews-Pampas_Grill-Los_Angeles_California.html,http://www.pampas-grill.com/menu-12
21,The Boiling Crab,3377 Wilshire Blvd,"Los Angeles, CA 90010-1850","$$ - $$$, American, Seafood",4.5 of 5 bubbles,260 reviews,+1 213-389-2722,https://www.tripadvisor.com//Restaurant_Review-g32655-d2185973-Reviews-The_Boiling_Crab-Los_Angeles_California.html,Check The Website for a Menu
22,Ca' Del Sole,4100 Cahuenga Blvd,"Los Angeles, CA 91602-2831","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,188 reviews,+1 818-985-4669,https://www.tripadvisor.com//Restaurant_Review-g32655-d364902-Reviews-Ca_Del_Sole-Los_Angeles_California.html,Check The Website for a Menu
23,The Bazaar by Jose Andres,465 S La Cienega Blvd,"Los Angeles, CA 90048-4001","$$$$, Spanish, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,097 reviews",+1 310-246-5555,https://www.tripadvisor.com//Restaurant_Review-g32655-d922299-Reviews-The_Bazaar_by_Jose_Andres-Los_Angeles_California.html,Check The Website for a Menu
24,Foxy's Restaurant,206 W Colorado St,"Glendale, CA 91204-1306","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,429 reviews,+1 818-246-0244,https://www.tripadvisor.com//Restaurant_Review-g32431-d371841-Reviews-Foxy_s_Restaurant-Glendale_California.html,Check The Website for a Menu
25,Raffi's Place Restaurant,211 E Broadway,"Glendale, CA 91205-1008","$$ - $$$, Mediterranean, Middle Eastern, Persian",4.5 of 5 bubbles,417 reviews,+1 818-240-7411,https://www.tripadvisor.com//Restaurant_Review-g32431-d376306-Reviews-Raffi_s_Place_Restaurant-Glendale_California.html,Check The Website for a Menu
26,Lemonade,1661 Abbot Kinney Blvd,"Los Angeles, CA 90291-3744","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,418 reviews,+1 310-452-6200,https://www.tripadvisor.com//Restaurant_Review-g32655-d2435121-Reviews-Lemonade-Los_Angeles_California.html,Check The Website for a Menu
27,RockSugar Southeast Asian Kitchen,10250 Santa Monica Blvd,"Los Angeles, CA 90067-6501","$$ - $$$, Asian, Thai, Fusion",4.5 of 5 bubbles,487 reviews,+1 310-552-9988,https://www.tripadvisor.com//Restaurant_Review-g32655-d1081885-Reviews-RockSugar_Southeast_Asian_Kitchen-Los_Angeles_California.html,Check The Website for a Menu
28,Cafe Gratitude,639 N Larchmont Blvd,"Los Angeles, CA 90004-1310","$$ - $$$, Cafe, Asian, Vegetarian Friendly",4.5 of 5 bubbles,268 reviews,+1 323-580-6383,https://www.tripadvisor.com//Restaurant_Review-g32655-d2629080-Reviews-Cafe_Gratitude-Los_Angeles_California.html,Check The Website for a Menu
29,Republique,624 S La Brea Ave,"Los Angeles, CA 90036-3568","$$ - $$$, French, American, Vegetarian Friendly",4.5 of 5 bubbles,566 reviews,+1 310-362-6115,https://www.tripadvisor.com//Restaurant_Review-g32655-d5603875-Reviews-Republique-Los_Angeles_California.html,Check The Website for a Menu
30,Gus's Barbecue - South Pasadena,808 Fair Oaks Ave,"South Pasadena, CA 91030-2606","$$ - $$$, American, Barbecue, Gluten Free Options",4.5 of 5 bubbles,277 reviews,+1 626-799-3251,https://www.tripadvisor.com//Restaurant_Review-g33115-d368907-Reviews-Gus_s_Barbecue_South_Pasadena-South_Pasadena_California.html,Check The Website for a Menu
31,Off Vine,6263 Leland Way,"Los Angeles, CA 90028-8207","$$ - $$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,301 reviews,+1 323-962-1900,https://www.tripadvisor.com//Restaurant_Review-g32655-d364726-Reviews-Off_Vine-Los_Angeles_California.html,Check The Website for a Menu
32,SPIN San Francisco,690 Folsom St,"San Francisco, CA 94107-1397","American, Pizza, Grill, Pub",4 of 5 bubbles,22 reviews,+1 415-636-5995,https://www.tripadvisor.com//Restaurant_Review-g60713-d17370857-Reviews-SPIN_San_Francisco-San_Francisco_California.html,http://wearespin.com/location/san-francisco/#our-menu
33,Mersea Restaurant,699 Avenue of the Palms,"San Francisco, CA 94130","$$ - $$$, American, Bar, Vegetarian Friendly",5 of 5 bubbles,235 reviews,+1 415-851-8118,https://www.tripadvisor.com//Restaurant_Review-g60713-d13497261-Reviews-Mersea_Restaurant-San_Francisco_California.html,Check The Website for a Menu
34,Eight Am,1323 Columbus Ave,"San Francisco, CA 94133-1330","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,"1,156 reviews",+1 415-292-4888,https://www.tripadvisor.com//Restaurant_Review-g60713-d8122118-Reviews-Eight_Am-San_Francisco_California.html,Check The Website for a Menu
35,Quince,470 Pacific Ave,"San Francisco, CA 94133-4610","$$$$, French, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,545 reviews,+1 415-775-8500,https://www.tripadvisor.com//Restaurant_Review-g60713-d349411-Reviews-Quince-San_Francisco_California.html,Check The Website for a Menu
36,Kokkari Estiatorio,200 Jackson St,"San Francisco, CA 94111-1806","$$$$, Mediterranean, Greek, Vegetarian Friendly",4.5 of 5 bubbles,"2,698 reviews",+1 415-981-0983,https://www.tripadvisor.com//Restaurant_Review-g60713-d353917-Reviews-Kokkari_Estiatorio-San_Francisco_California.html,Check The Website for a Menu
37,Chapeau!,126 Clement St,"San Francisco, CA 94118-2420","$$$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,298 reviews,+1 415-750-9787,https://www.tripadvisor.com//Restaurant_Review-g60713-d367029-Reviews-Chapeau-San_Francisco_California.html,Check The Website for a Menu
38,Pacific Cafe,7000 Geary Blvd,"San Francisco, CA 94121-1623","$$ - $$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,241 reviews,+1 415-387-7091,https://www.tripadvisor.com//Restaurant_Review-g60713-d367037-Reviews-Pacific_Cafe-San_Francisco_California.html,Check The Website for a Menu
39,Lapisara Eatery,698 Post St,"San Francisco, CA 94109-8232","$$ - $$$, Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,174 reviews,+1 415-655-3556,https://www.tripadvisor.com//Restaurant_Review-g60713-d14018177-Reviews-Lapisara_Eatery-San_Francisco_California.html,Check The Website for a Menu
40,L'ardoise Bistro,151 Noe St,"San Francisco, CA 94114-1245","$$ - $$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,237 reviews,+1 415-437-2600,https://www.tripadvisor.com//Restaurant_Review-g60713-d1027321-Reviews-L_ardoise_Bistro-San_Francisco_California.html,Check The Website for a Menu
41,Seven Hills,1896 Hyde St,"San Francisco, CA 94109-3114","$$$$, Seafood, Italian, Vegetarian Friendly",4.5 of 5 bubbles,923 reviews,+1 415-775-1550,https://www.tripadvisor.com//Restaurant_Review-g60713-d1999071-Reviews-Seven_Hills-San_Francisco_California.html,Check The Website for a Menu
42,Hollywood Cafe,530 North Point St,"San Francisco, CA 94133-1312","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,"3,775 reviews",+1 415-563-3779,https://www.tripadvisor.com//Restaurant_Review-g60713-d1537869-Reviews-Hollywood_Cafe-San_Francisco_California.html,https://www.hollywoodcafesf.com/menu-1
43,Anchor Oyster Bar & Seafood Market,579 Castro St,"San Francisco, CA 94114-2511","$$ - $$$, American, Seafood, Soups",4.5 of 5 bubbles,640 reviews,+1 415-552-7584,https://www.tripadvisor.com//Restaurant_Review-g60713-d368799-Reviews-Anchor_Oyster_Bar_Seafood_Market-San_Francisco_California.html,Check The Website for a Menu
44,Ristorante Franchino,347 Columbus Ave,"San Francisco, CA 94133-3907","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,429 reviews,+1 415-982-2157,https://www.tripadvisor.com//Restaurant_Review-g60713-d372044-Reviews-Ristorante_Franchino-San_Francisco_California.html,Check The Website for a Menu
45,Jeanne D'Arc Restaurant,715 Bush St,"San Francisco, CA 94108-3402","$$ - $$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,683 reviews,+1 415-421-3154,https://www.tripadvisor.com//Restaurant_Review-g60713-d379131-Reviews-Jeanne_D_Arc_Restaurant-San_Francisco_California.html,Check The Website for a Menu
46,Betty Lou's Seafood and Grill,318 Columbus Ave,"San Francisco, CA 94133-3908","$$ - $$$, Seafood, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,243 reviews,+1 415-757-0569,https://www.tripadvisor.com//Restaurant_Review-g60713-d11862449-Reviews-Betty_Lou_s_Seafood_and_Grill-San_Francisco_California.html,Check The Website for a Menu
47,Hog Island Oyster Company,The Ferry Building Marketplace,"San Francisco, CA 94111","$$ - $$$, American, Seafood, Soups",4.5 of 5 bubbles,"2,246 reviews",+1 415-391-7117,https://www.tripadvisor.com//Restaurant_Review-g60713-d353960-Reviews-Hog_Island_Oyster_Company-San_Francisco_California.html,Check The Website for a Menu
48,Sweet Maple,2101 Sutter St,"San Francisco, CA 94115-3119","$$ - $$$, American, Cafe, Gluten Free Options",4.5 of 5 bubbles,897 reviews,+1 415-655-9169,https://www.tripadvisor.com//Restaurant_Review-g60713-d2225127-Reviews-Sweet_Maple-San_Francisco_California.html,Check The Website for a Menu
49,E Tutto Qua,270 Columbus Ave,"San Francisco, CA 94133-4518","$$ - $$$, Seafood, Italian, Pizza",4.5 of 5 bubbles,"1,406 reviews",+1 415-989-1002,https://www.tripadvisor.com//Restaurant_Review-g60713-d659954-Reviews-E_Tutto_Qua-San_Francisco_California.html,Check The Website for a Menu
50,Pacific Catch,2027 Chestnut St,"San Francisco, CA 94123-2701","$$ - $$$, Hawaiian, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,987 reviews,+1 415-440-1950,https://www.tripadvisor.com//Restaurant_Review-g60713-d370405-Reviews-Pacific_Catch-San_Francisco_California.html,Check The Website for a Menu
51,La Ciccia,291 30th St,"San Francisco, CA 94131-2454","$$ - $$$, Italian, Seafood, Mediterranean",4.5 of 5 bubbles,233 reviews,+1 415-550-8114,https://www.tripadvisor.com//Restaurant_Review-g60713-d618686-Reviews-La_Ciccia-San_Francisco_California.html,Check The Website for a Menu
52,Off the Grid: Fort Mason Center,Fort Mason Center Parking Lot Buchanan St & Marina Blvd,"San Francisco, CA 94123","$, Fast Food, International, Vegetarian Friendly",4.5 of 5 bubbles,186 reviews,+1 415-339-5888,https://www.tripadvisor.com//Restaurant_Review-g60713-d3652457-Reviews-Off_the_Grid_Fort_Mason_Center-San_Francisco_California.html,Check The Website for a Menu
53,Burma Superstar Restaurant,309 Clement St,"San Francisco, CA 94118-2315","$$ - $$$, Asian, Burmese, Vegetarian Friendly",4.5 of 5 bubbles,862 reviews,+1 415-387-2147,https://www.tripadvisor.com//Restaurant_Review-g60713-d367027-Reviews-Burma_Superstar_Restaurant-San_Francisco_California.html,Check The Website for a Menu
54,Mo's Grill,1322 Grant Ave,"San Francisco, CA 94133-3904","$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,457 reviews,+1 415-788-3779,https://www.tripadvisor.com//Restaurant_Review-g60713-d353907-Reviews-Mo_s_Grill-San_Francisco_California.html,Check The Website for a Menu
55,Piccolo Forno,725 Columbus Ave,"San Francisco, CA 94133-2701","$$ - $$$, Italian, Pizza, Mediterranean",4.5 of 5 bubbles,268 reviews,+1 415-757-0087,https://www.tripadvisor.com//Restaurant_Review-g60713-d10166218-Reviews-Piccolo_Forno-San_Francisco_California.html,Check The Website for a Menu
56,Chez Maman,1401 18th St,"San Francisco, CA 94107-2801","$$ - $$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,247 reviews,+415-655-9542,https://www.tripadvisor.com//Restaurant_Review-g60713-d360113-Reviews-Chez_Maman-San_Francisco_California.html,Check The Website for a Menu
57,Coqueta,"The Embarcadero, Pier 5","San Francisco, CA","$$ - $$$, Mediterranean, Spanish, Catalan",4.5 of 5 bubbles,718 reviews,+1 415-704-8866,https://www.tripadvisor.com//Restaurant_Review-g60713-d4105961-Reviews-Coqueta-San_Francisco_California.html,http://coquetasf.com/menu/
58,Nob Hill Cafe,1152 Taylor St,"San Francisco, CA 94108-1916","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"1,086 reviews",+1 415-776-6500,https://www.tripadvisor.com//Restaurant_Review-g60713-d353941-Reviews-Nob_Hill_Cafe-San_Francisco_California.html,Check The Website for a Menu
59,Boulevard,1 Mission St,"San Francisco, CA 94105-1209","$$$$, American, International, Vegetarian Friendly",4.5 of 5 bubbles,"1,846 reviews",+1 415-543-6084,https://www.tripadvisor.com//Restaurant_Review-g60713-d353909-Reviews-Boulevard-San_Francisco_California.html,Check The Website for a Menu
60,Delancey Street Restaurant,600 The Embarcadero,"San Francisco, CA 94107-2116","$$ - $$$, American, International, Vegetarian Friendly",4.5 of 5 bubbles,346 reviews,+1 415-512-5179,https://www.tripadvisor.com//Restaurant_Review-g60713-d447668-Reviews-Delancey_Street_Restaurant-San_Francisco_California.html,Check The Website for a Menu
61,Acquerello,1722 Sacramento St,"San Francisco, CA 94109-3619","$$$$, Contemporary, Italian, Vegetarian Friendly",4.5 of 5 bubbles,350 reviews,+1 415-567-5432,https://www.tripadvisor.com//Restaurant_Review-g60713-d370438-Reviews-Acquerello-San_Francisco_California.html,Check The Website for a Menu
62,Liholiho Yacht Club,871 Sutter St,"San Francisco, CA 94109-6168","$$ - $$$, Asian, Hawaiian, Vegetarian Friendly",4.5 of 5 bubbles,341 reviews,+1 415-440-5446,https://www.tripadvisor.com//Restaurant_Review-g60713-d7627146-Reviews-Liholiho_Yacht_Club-San_Francisco_California.html,https://liholihoyachtclub.com/menu-liholiho-dinner/
63,Pete's Seafood and Sandwich,3382 30th St,"San Diego, CA 92104-4535","$$ - $$$, American, Seafood, Diner",4.5 of 5 bubbles,41 reviews,+1 619-255-8940,https://www.tripadvisor.com//Restaurant_Review-g60750-d14017120-Reviews-Pete_s_Seafood_and_Sandwich-San_Diego_California.html,http://bostonpetes.com/san-diego-north-park-petes-seafood-and-sandwich-food-menu
64,Tocaya Organica - San Diego,755 5th Ave,"San Diego, CA 92101-6917","$$ - $$$, Quick Bites, Mexican, Latin",4.5 of 5 bubbles,77 reviews,+1 619-343-2898,https://www.tripadvisor.com//Restaurant_Review-g60750-d14952795-Reviews-Tocaya_Organica_San_Diego-San_Diego_California.html,Check The Website for a Menu
65,Ambrogio15,926 Turquoise St,"San Diego, CA 92109-1186","$$ - $$$, Italian, Pizza, Wine Bar",5 of 5 bubbles,262 reviews,+1 858-291-8650,https://www.tripadvisor.com//Restaurant_Review-g60750-d10260213-Reviews-Ambrogio15-San_Diego_California.html,https://www.ambrogio15.com/menu/
66,Parma Cucina Italiana,3850 5th Ave,"San Diego, CA 92103-3141","$$ - $$$, Italian, Northern-Italian, Vegetarian Friendly",4.5 of 5 bubbles,"1,124 reviews",+1 619-543-0049,https://www.tripadvisor.com//Restaurant_Review-g60750-d4946181-Reviews-Parma_Cucina_Italiana-San_Diego_California.html,Check The Website for a Menu
67,Hodad's,5010 Newport Ave,"San Diego, CA 92107-3010","$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,"2,271 reviews",+1 619-224-4623,https://www.tripadvisor.com//Restaurant_Review-g60750-d522135-Reviews-Hodad_s-San_Diego_California.html,Check The Website for a Menu
68,Baja Betty's,1421 University Ave,"San Diego, CA 92103-3404","$$ - $$$, Mexican, Bar, Vegetarian Friendly",4.5 of 5 bubbles,157 reviews,+1 619-269-8510,https://www.tripadvisor.com//Restaurant_Review-g60750-d1030643-Reviews-Baja_Betty_s-San_Diego_California.html,Check The Website for a Menu
69,Harney Sushi,3964 Harney St,"San Diego, CA 92110-2825","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,421 reviews,+1 619-295-3272,https://www.tripadvisor.com//Restaurant_Review-g60750-d776459-Reviews-Harney_Sushi-San_Diego_California.html,Check The Website for a Menu
70,Veranda Fireside Lounge & Restaurant,17550 Bernardo Oaks Dr,"San Diego, CA 92128-2112","$$ - $$$, Contemporary, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,491 reviews,+1 877-509-9512,https://www.tripadvisor.com//Restaurant_Review-g60750-d1370241-Reviews-Veranda_Fireside_Lounge_Restaurant-San_Diego_California.html,Check The Website for a Menu
71,The Mission,1250 J St,"San Diego, CA 92101-7541","$$ - $$$, Mexican, American, Vegetarian Friendly",4.5 of 5 bubbles,398 reviews,+1 619-232-7662,https://www.tripadvisor.com//Restaurant_Review-g60750-d1436094-Reviews-The_Mission-San_Diego_California.html,Check The Website for a Menu
72,"Truluck's Seafood, Steak and Crab House",8990 University Center Ln,"San Diego, CA 92122-1085","$$$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,792 reviews,+1 858-453-2583,https://www.tripadvisor.com//Restaurant_Review-g60750-d1382087-Reviews-Truluck_s_Seafood_Steak_and_Crab_House-San_Diego_California.html,Check The Website for a Menu
73,Sushi Ota,4529 Mission Bay Dr,"San Diego, CA 92109-4920","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,854 reviews,+1 858-270-5670,https://www.tripadvisor.com//Restaurant_Review-g60750-d481965-Reviews-Sushi_Ota-San_Diego_California.html,Check The Website for a Menu
74,Italianissimo Trattoria,323 3rd Ave,"Chula Vista, CA 91910-3910","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,227 reviews,+1 619-651-1457,https://www.tripadvisor.com//Restaurant_Review-g32210-d2467442-Reviews-Italianissimo_Trattoria-Chula_Vista_California.html,Check The Website for a Menu
75,The Lion's Share,629 Kettner Blvd,"San Diego, CA 92101-6718","$$ - $$$, American, Bar, Gluten Free Options",4.5 of 5 bubbles,179 reviews,+1 619-564-6924,https://www.tripadvisor.com//Restaurant_Review-g60750-d2561877-Reviews-The_Lion_s_Share-San_Diego_California.html,Check The Website for a Menu
76,The 3rd Corner,2265 Bacon St,"San Diego, CA 92107-1304","$$ - $$$, Wine Bar, American, Contemporary",4.5 of 5 bubbles,237 reviews,+1 619-223-2700,https://www.tripadvisor.com//Restaurant_Review-g60750-d495587-Reviews-The_3rd_Corner-San_Diego_California.html,Check The Website for a Menu
77,NINE-TEN Restaurant & Bar,910 Prospect St.,"La Jolla, San Diego, CA 92037","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,633 reviews,+1 858-964-5400,https://www.tripadvisor.com//Restaurant_Review-g32578-d494722-Reviews-NINE_TEN_Restaurant_Bar-La_Jolla_San_Diego_California.html,Check The Website for a Menu
78,Tender Greens,2400 Historic Decatur Rd Ste 104,"San Diego, CA 92106-6158","$$ - $$$, American, Vegan Options, Vegetarian Friendly",4.5 of 5 bubbles,255 reviews,+1 619-226-6254,https://www.tripadvisor.com//Restaurant_Review-g60750-d1436092-Reviews-Tender_Greens-San_Diego_California.html,Check The Website for a Menu
79,Enoteca Adriano,4864 Cass St,"San Diego, CA 92109-2623","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,303 reviews,+1 858-490-0085,https://www.tripadvisor.com//Restaurant_Review-g60750-d1735810-Reviews-Enoteca_Adriano-San_Diego_California.html,Check The Website for a Menu
80,The Promiscuous Fork,6984 La Jolla Blvd,"La Jolla, San Diego, CA 92037-5426","$$ - $$$, Bar, American, Contemporary",4.5 of 5 bubbles,143 reviews,+1 858-454-3663,https://www.tripadvisor.com//Restaurant_Review-g32578-d4134383-Reviews-The_Promiscuous_Fork-La_Jolla_San_Diego_California.html,http://thepromiscuousfork.com/menu.html
81,Piatti,2182 Avenida de La Playa,"La Jolla, San Diego, CA 92037-3214","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,838 reviews,+1 858-454-1589,https://www.tripadvisor.com//Restaurant_Review-g32578-d1367623-Reviews-Piatti-La_Jolla_San_Diego_California.html,Check The Website for a Menu
82,Hodad's Downtown,945 Broadway,"San Diego, CA 92101-5513","$, American, Bar",4.5 of 5 bubbles,679 reviews,+1 619-234-6323,https://www.tripadvisor.com//Restaurant_Review-g60750-d2314872-Reviews-Hodad_s_Downtown-San_Diego_California.html,Check The Website for a Menu
83,Eddie V's Prime Seafood,1270 Prospect St,"La Jolla, San Diego, CA 92037-3609","$$$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,"1,398 reviews",+1 858-459-5500,https://www.tripadvisor.com//Restaurant_Review-g32578-d2290727-Reviews-Eddie_V_s_Prime_Seafood-La_Jolla_San_Diego_California.html,Check The Website for a Menu
84,A.R. Valentien at The Lodge at Torrey Pines,11480 N Torrey Pines Rd,"La Jolla, San Diego, CA 92037-1045","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,628 reviews,+1 858-777-6635,https://www.tripadvisor.com//Restaurant_Review-g32578-d3317307-Reviews-A_R_Valentien_at_The_Lodge_at_Torrey_Pines-La_Jolla_San_Diego_California.html,Check The Website for a Menu
