,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
45,RabbitHole,352 Bedford Ave,"Brooklyn, NY 11249-5586","$$ - $$$, American, Healthy, Vegetarian Friendly",4.5 of 5 bubbles,270 reviews,I went here for the second time.  My daughter lives near it.   The menu changes regularly and the food is all good.,+1 718-782-0910,https://www.tripadvisor.com//Restaurant_Review-g60827-d1503553-Reviews-RabbitHole-Brooklyn_New_York.html,Check The Website for a Menu
46,Piccola Cucina,184 Prince St,"New York City, NY 10012-2979","$$ - $$$, Italian, European, Sicilian",4.5 of 5 bubbles,"1,045 reviews","A very little restaurant but they provide amazing food and they are the nicest people you will meet. Loved it, would happily come again when in NY!",+1 212-625-3200,https://www.tripadvisor.com//Restaurant_Review-g60763-d1731141-Reviews-Piccola_Cucina-New_York_City_New_York.html,Check The Website for a Menu
47,Champs Diner,197 Meserole St,"Brooklyn, NY 11206-2229","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,198 reviews,"The food doesn’t seem vegan — carnivore friends would feel comfortable!  Mine did!  I had the breakfast plate with tofu scramble, bacon, sausage, hash browns, and pancakes.  The pancakes were light & fluffy.  I also had a milkshake that was delicious!  The hash browns could...More",+1 718-599-2743,https://www.tripadvisor.com//Restaurant_Review-g60827-d4371804-Reviews-Champs_Diner-Brooklyn_New_York.html,http://www.champsdiner.com/./assets/menus/menu_new.pdf
48,Table 87 Coal Oven Pizza,87 Atlantic Ave,"Brooklyn, NY 11201-5503","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,180 reviews,"Popped into this cozy little pizza place during a Brooklyn Food Tour and will definitely be going back! Pizza was ridiculously good, enjoyed a glass of Chianti with it, and the service was 👌. I felt like they were truly thankful for our patronage.",+1 718-797-9300,https://www.tripadvisor.com//Restaurant_Review-g60827-d4437293-Reviews-Table_87_Coal_Oven_Pizza-Brooklyn_New_York.html,Check The Website for a Menu
49,Scalini Fedeli,165 Duane St,"New York City, NY 10013-3332","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,427 reviews,A quaint romantic restaurant with a excellent food. They bring you things to eat in between courses. Staff is great. Everything we ate was delicious. Great for couples and special occasions.  Will definitely be back.,+1 212-528-0400,https://www.tripadvisor.com//Restaurant_Review-g60763-d424246-Reviews-Scalini_Fedeli-New_York_City_New_York.html,Check The Website for a Menu
50,Russ & Daughters Cafe,127 Orchard St,"New York City, NY 10002-3103","$$ - $$$, American, Cafe, Deli",4.5 of 5 bubbles,671 reviews,"This deli is perfect for an interesting selection of comfort food, great service and ambiance that makes you feel right at home. And I'm Irish.",+1 212-475-4881,https://www.tripadvisor.com//Restaurant_Review-g60763-d7387632-Reviews-Russ_Daughters_Cafe-New_York_City_New_York.html,Check The Website for a Menu
51,Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345","$$ - $$$, Italian, Seafood, Mediterranean",4.5 of 5 bubbles,166 reviews,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com//Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf
52,Westville Dumbo,81 Washington St,"Brooklyn, NY 11201-1411","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,180 reviews,"Great food, good vibe, excellent service. We went for a very late lunch / early dinner at 4pm as we were having a wander around Dumbo. Chicken strips as an appetiser followed by fish and chips and a burger. The portion sizes are right (not...More",+1 718-618-5699,https://www.tripadvisor.com//Restaurant_Review-g60827-d12201736-Reviews-Westville_Dumbo-Brooklyn_New_York.html,Check The Website for a Menu
53,Eileen's Special Cheesecake,17 Cleveland Pl,"New York City, NY 10012-4052","$, American, Vegetarian Friendly",4.5 of 5 bubbles,"2,057 reviews","We really enjoyed our visit here, a great selection and the cheesecakes were delicious. Definitely worth the visit!",+1 212-966-5585,https://www.tripadvisor.com//Restaurant_Review-g60763-d808386-Reviews-Eileen_s_Special_Cheesecake-New_York_City_New_York.html,http://www.eileenscheesecake.com/wp-content/uploads/2018/10/retail-2018-19.pdf
54,City Vineyard,233 West Street,"New York City, NY 10013","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,374 reviews,"Came here to see Andrea Gibson perform, we were excited for the show but became even more excited when we saw what a cool spot this was, the Views and vibe were awesome and to match the ambiance, the service and food were phenomenal. We...More",+1 646-677-8350,https://www.tripadvisor.com//Restaurant_Review-g60763-d10778920-Reviews-City_Vineyard-New_York_City_New_York.html,Check The Website for a Menu
55,Buenos Aires,513 E 6th St,"New York City, NY 10009-6621","$$ - $$$, Steakhouse, Latin, Argentinean",4.5 of 5 bubbles,424 reviews,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.  I've been eating here since it opened...More",+1 212-228-2775,https://www.tripadvisor.com//Restaurant_Review-g60763-d901589-Reviews-Buenos_Aires-New_York_City_New_York.html,Check The Website for a Menu
56,Dirt Candy,86 Allen St,"New York City, NY 10002-3014","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,353 reviews,This was truly the worst meal we've ever eaten (4 of us dined this evening). We stopped for a slice of pizza on the way home so that we could have something edible. Cauliflower ice cream? Are you serious? Each dish that came made us...More,+1 212-228-7732,https://www.tripadvisor.com//Restaurant_Review-g60763-d1236468-Reviews-Dirt_Candy-New_York_City_New_York.html,Check The Website for a Menu
57,Maison Premiere,298 Bedford Ave,"Brooklyn, NY 11249-4205","$$ - $$$, Seafood, Gluten Free Options",4.5 of 5 bubbles,332 reviews,"Not a cheap place at all - beware! However, totally worth every penny. Food is amazing and service is also very good. Feeling like oysters in NY? Just go there. Wil not regret it.",+1 347-335-0446,https://www.tripadvisor.com//Restaurant_Review-g60827-d3192816-Reviews-Maison_Premiere-Brooklyn_New_York.html,Check The Website for a Menu
58,Queen Italian Restaurant,84 Court St,"Brooklyn, NY 11201-5042","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,334 reviews,"All is done on premise, they have  delicious food and all natural ingredients. The breads they serve at the table, the desserts, the fresh pasta, it’s all so good and so delicious.  They make sure my food is prepared for me since i am pescatarian...More",+1 718-596-5955,https://www.tripadvisor.com//Restaurant_Review-g60827-d459583-Reviews-Queen_Italian_Restaurant-Brooklyn_New_York.html,Check The Website for a Menu
