,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
16,Fogo de Chao Brazilian Steakhouse,8250 Westheimer Rd,"Houston, TX 77063-2702","$$$$, Brazilian, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,"1,584 reviews",Driving on westheimer road. I decided to stop and sort out this place. To my utmost surprise. This is the house of meats. I love this place. Would certainly be back again with my family.,+1 713-978-6500,https://www.tripadvisor.com//Restaurant_Review-g56003-d485421-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Houston_Texas.html,Check The Website for a Menu
17,Etoile Cuisine et Bar,1101 Uptown Park Blvd,"Houston, TX 77056-3223","$$$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,324 reviews,"Etoile' has been one of my very favorite restaurants, but Valentine's Day was such a huge disappointment! I was so looking forward to enjoying champage with my husband and made my reservations weeks ahead of time, even securing it with a credit card. We arrived...More",+1 832-668-5808,https://www.tripadvisor.com//Restaurant_Review-g56003-d3670960-Reviews-Etoile_Cuisine_et_Bar-Houston_Texas.html,Check The Website for a Menu
18,Peli Peli,110 Vintage Park Blvd,"Houston, TX 77070-4047","$$$$, International, Contemporary, Fusion",4.5 of 5 bubbles,"1,922 reviews",We come to this area often for business but had never tried this restaurant.  Never having tried South African food we decided to give it a shot.  We were all amazed.  We tried the sampler as well as several different dishes to get an array...More,+1 281-257-9500,https://www.tripadvisor.com//Restaurant_Review-g56003-d1497038-Reviews-Peli_Peli-Houston_Texas.html,https://docs.wixstatic.com/ugd/93fbbb_b84fce146379428983c78d4c3b533654.pdf?index=true
19,Masraff's,1753 Post Oak Blvd,"Houston, TX 77056-3801","$$$$, American, Seafood, Vegan Options",4.5 of 5 bubbles,384 reviews,"Excellent menu, servir and list of wines. The meal, amazing.  One downside, the ambient was too cold.",+1 713-355-1975,https://www.tripadvisor.com//Restaurant_Review-g56003-d442210-Reviews-Masraff_s-Houston_Texas.html,Check The Website for a Menu
20,Artisans,3201 Louisiana St,"Houston, TX 77006-6644","$$$$, French, Gluten Free Options, Vegetarian Friendly",4.5 of 5 bubbles,241 reviews,"I enjoyed an amazing business lunch with lobster bisque, crusted sea bass and pecan bread pudding. The food was fantastic and service above expectations!",+1 713-529-9111,https://www.tripadvisor.com//Restaurant_Review-g56003-d2550468-Reviews-Artisans-Houston_Texas.html,Check The Website for a Menu
21,Fadi's Mediterranean Grill,4738 Beechnut St,"Houston, TX 77096-1637","$$ - $$$, Mediterranean, Middle Eastern, Vegan Options",4.5 of 5 bubbles,203 reviews,In the area on holidays and visited today for dinner. The food was fantastic and the staff were lovely and very patient in explaining how it worked. Would definitely recommend,+1 713-666-4644,https://www.tripadvisor.com//Restaurant_Review-g56003-d442413-Reviews-Fadi_s_Mediterranean_Grill-Houston_Texas.html,Check The Website for a Menu
22,Kenny & Ziggy's New York Deli,2327 Post Oak Blvd,"Houston, TX 77056-4704","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,"1,104 reviews",We ate at each location once during our trip to Houston. They were both great. Food was delicious and the service was great!,+1 713-871-8883,https://www.tripadvisor.com//Restaurant_Review-g56003-d485152-Reviews-Kenny_Ziggy_s_New_York_Deli-Houston_Texas.html,Check The Website for a Menu
23,Steak 48,4444 Westheimer Rd,"Houston, TX 77027-4800","$$$$, American, Steakhouse, Seafood",4.5 of 5 bubbles,322 reviews,"We had a wonderful time eating crispy shrimp and wonderfully cooked steak! Our server Harrison, was awesome as well! Next time we will try bar seating.",+1 713-322-7448,https://www.tripadvisor.com//Restaurant_Review-g56003-d10486066-Reviews-Steak_48-Houston_Texas.html,Check The Website for a Menu
24,Brennan's of Houston,3300 Smith St,"Houston, TX 77006-6692","$$$$, American, Seafood, Cajun & Creole",4.5 of 5 bubbles,957 reviews,"My husband and I stopped in late afternoon, 1:30pm, for lunch. It was fantastic. We were seated in a room upstairs which had a view of the patio area. The waitstaff was great, They were very helpful with my dietary needs. We both ordered seafood...More",+1 713-522-9711,https://www.tripadvisor.com//Restaurant_Review-g56003-d442217-Reviews-Brennan_s_of_Houston-Houston_Texas.html,Check The Website for a Menu
25,Peli Peli Galleria,5085 Westheimer Rd,"Houston, TX 77056-5673","$$$$, International, Contemporary, Fusion",4.5 of 5 bubbles,"1,038 reviews","Awesome food, very professional wait staff (Onyii), wonderful ambiance.  Lamb chops are some of the best I have ever eaten.  Brussels sprouts were tremendous, everything was delicious!!",+1 281-257-9500,https://www.tripadvisor.com//Restaurant_Review-g56003-d7803095-Reviews-Peli_Peli_Galleria-Houston_Texas.html,https://docs.wixstatic.com/ugd/93fbbb_6cc3e99f0b8241b5a46a80d90a3559e2.pdf
26,El Tiempo Cantina- Washington,5602 Washington Ave,"Houston, TX 77007-5135","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,438 reviews,Tried this restaurant for the first time on a recent visit to see our daughter in Houston.  Food was good and PLENTIFUL! Also enjoyed trying the complimentary basket of a variety of “sweets” brought to our table. Servers were pleasant and attentive. Would go back.,+1 713-681-3645,https://www.tripadvisor.com//Restaurant_Review-g56003-d485057-Reviews-El_Tiempo_Cantina_Washington-Houston_Texas.html,Check The Website for a Menu
27,Jackson Street Bbq,209 Jackson St,"Houston, TX 77002-2228","$$ - $$$, Barbecue, American, Southwestern",4.5 of 5 bubbles,201 reviews,"We went on the evening of the 22nd of January 2020. We were late enough they were out of somethings, but what they had was very good. We got the venison sausage, pulled pork smoked turkey and the brisket. All the meats were tasty. We...More",+1 713-224-2400,https://www.tripadvisor.com//Restaurant_Review-g56003-d8023517-Reviews-Jackson_Street_Bbq-Houston_Texas.html,http://zb2.c9a.myftpupload.com/menu/
28,Huynh Restaurant,912 Saint Emanuel St.,"Houston, TX 77003-3507","$$ - $$$, Asian, Vietnamese, Vegetarian Friendly",4.5 of 5 bubbles,144 reviews,Heard good things about the restaurant and when the grandsons come to town they like to eat Asian food. So we decided to visit Huynh. It was worth it. The food was seasoned to not need any extra salt or pepper. The service was prompt...More,+1 713-224-8964,https://www.tripadvisor.com//Restaurant_Review-g56003-d2424940-Reviews-Huynh_Restaurant-Houston_Texas.html,Check The Website for a Menu
29,Eddie V's Prime Seafood,2800 Kirby Dr,"Houston, TX 77098-1273","$$$$, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,180 reviews,"Our family dines at this fine restaurant several times a year but always on Christmas Eve. Even though the place is always crowded then, it never seems rushed.

All the steaks, including the bone-in ribeye and filets, are delicious. Some of us add on their...More",+1 713-874-1800,https://www.tripadvisor.com//Restaurant_Review-g56003-d1993540-Reviews-Eddie_V_s_Prime_Seafood-Houston_Texas.html,Check The Website for a Menu
30,Grace's,3111 Kirby Drive,"Houston, TX 77098","$$ - $$$, American, Asian, Vegetarian Friendly",4.5 of 5 bubbles,271 reviews,Enjoyed my evening and atmosphere. I recommend you dress better than jeans and tennis shoes. I felt a little out of place but service was great. The food was hot and fresh. I drank three glasses of iced tea. It was brewed to perfection. The...More,+1 713-728-6410,https://www.tripadvisor.com//Restaurant_Review-g56003-d6476738-Reviews-Grace_s-Houston_Texas.html,Check The Website for a Menu
31,Savor Bistro,20122 Stone Oak Pkwy,"San Antonio, TX 78258","$$$$, Italian, French, Steakhouse",4.5 of 5 bubbles,33 reviews,"What a find!

First of all, I wanted to thank the manager for allowing my team to have a morning meeting in their restaurant. They were very courteous and willing to host us. Superb customer service and the entire breakfast menu as the people my...More",+1 210-504-4600,https://www.tripadvisor.com//Restaurant_Review-g60956-d17834689-Reviews-Savor_Bistro-San_Antonio_Texas.html,Check The Website for a Menu
32,Zinc Bistro and Wine Bar,207 N Presa St,"San Antonio, TX 78205-2635","$$ - $$$, American, Bar, Wine Bar",4.5 of 5 bubbles,"1,129 reviews","Great place to start or even finish an evening. Big wine list both bottles and by the glass. 
I loved the calamari!  Besides being good and fresh they add avocado peppers radicchio and a real good spicy aioli. 
The location and the historic building are...More",+1 210-224-2900,https://www.tripadvisor.com//Restaurant_Review-g60956-d437288-Reviews-Zinc_Bistro_and_Wine_Bar-San_Antonio_Texas.html,Check The Website for a Menu
33,Chama Gaucha Brazilian Steakhouse,18318 Sonterra Pl,"San Antonio, TX 78258-4175","$$$$, Steakhouse, Brazilian, Vegetarian Friendly",4.5 of 5 bubbles,"1,537 reviews",Top notch Brazilian Steak House! My wife and I go to this place often the food is great and the service is outstanding would definitely recommend this restaurant to anyone,+1 210-564-9400,https://www.tripadvisor.com//Restaurant_Review-g60956-d1233077-Reviews-Chama_Gaucha_Brazilian_Steakhouse-San_Antonio_Texas.html,Check The Website for a Menu
34,Bliss,926 S Presa St,"San Antonio, TX 78210-1460","$$$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,886 reviews,We typically dine downtown San Antonio on the Riverwalk prior to attending an evening performance at the Majestic Theater.  We elected to dine at the Bliss restaurant based upon very favorable reviews and proximity to the venue.  From the warm welcome to the conclusion of...More,+1 210-225-2547,https://www.tripadvisor.com//Restaurant_Review-g60956-d2558203-Reviews-Bliss-San_Antonio_Texas.html,Check The Website for a Menu
35,Pollos Asados Los Nortenos,4642 Rigsby Ave,"San Antonio, TX 78222-1266","$, Mexican, Latin, Spanish",4.5 of 5 bubbles,884 reviews,"We decided to give this place a try based on the reviews and were not disappointed!  The fajitas and half chicken were perfectly seasoned and the fresh guacamole was so good.  It's small and unpretentious with fast, efficient service.  Will definitely be back the next...More",+1 210-648-3303,https://www.tripadvisor.com//Restaurant_Review-g60956-d3976153-Reviews-Pollos_Asados_Los_Nortenos-San_Antonio_Texas.html,Check The Website for a Menu
36,J Prime Steakhouse,1401 North Loop 1604 W,"San Antonio, TX 78258","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,309 reviews,Outstanding steak house!  Food was excellent and the service / ambiance was better.  These folks a real gem in midst of all the chains.,+1 210-764-1604,https://www.tripadvisor.com//Restaurant_Review-g60956-d7273799-Reviews-J_Prime_Steakhouse-San_Antonio_Texas.html,http://jprimesteakhouse.com/menu/
37,Biga on the Banks,203 S Saint Marys St,"San Antonio, TX 78205-2714","$$$$, American, International, Vegetarian Friendly",4.5 of 5 bubbles,"1,512 reviews","My wife and I dined at Biga on the Banks on a Saturday evening in February 2020.  The ability to order half-portion entrees was appreciated.  As a starter, we had radicchio and bibb lettuce pockets filled with bison and other meats, which was good but...More",+1 210-225-0722,https://www.tripadvisor.com//Restaurant_Review-g60956-d437231-Reviews-Biga_on_the_Banks-San_Antonio_Texas.html,Check The Website for a Menu
38,Cappy's Restaurant,5011 Broadway St,"San Antonio, TX 78209-5707","$$ - $$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,574 reviews,"Wow!!! This was our first time to Cappy’s. My husband & I had a crab cake to start which was good. The bread is also yummy. I had the salmon with lobster mashed potatoes-SO, SO good!!! My husband had the daily special which was a...More",+1 210-828-9669,https://www.tripadvisor.com//Restaurant_Review-g60956-d437336-Reviews-Cappy_s_Restaurant-San_Antonio_Texas.html,Check The Website for a Menu
39,Eddie V's Prime Seafood,1834 N Loop 1604 W,"San Antonio, TX 78248","$$$$, American, Seafood, Grill",4.5 of 5 bubbles,843 reviews,My wife and I had a very nice Valentines dinner here.  The bar has very good signature cocktails and my wife loved the Hope Diamond.  She had the sole for dinner and loved it as did I.   I had a filet which was perfectly cut...More,+1 210-493-1600,https://www.tripadvisor.com//Restaurant_Review-g60956-d1312705-Reviews-Eddie_V_s_Prime_Seafood-San_Antonio_Texas.html,Check The Website for a Menu
40,Bohanan's Prime Steak and Seafood,219 E Houston St,"San Antonio, TX 78205-1854","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"1,732 reviews",We enjoyed this entire experience from start to finish! The service was amazing by Rich (and Garrettt)! Rich selected the perfect cocktails 🍸 for us! The Texas heirloom salad & shrimp 🍤 were amazing! My husband had the tortilla soup 🥣 along with steak &...More,+1 210-472-2600,https://www.tripadvisor.com//Restaurant_Review-g60956-d437290-Reviews-Bohanan_s_Prime_Steak_and_Seafood-San_Antonio_Texas.html,Check The Website for a Menu
41,18 Oaks,23808 Resort Parkway,"San Antonio, TX 78261","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,350 reviews,"This was my 3rd time here for brunch and I will always recommend. Amazing food, great customer service and I had the pleasure of Jacob M being our server he made our dining experience outstanding. Highly recommend",+1 210-491-5825,https://www.tripadvisor.com//Restaurant_Review-g60956-d1987818-Reviews-18_Oaks-San_Antonio_Texas.html,Check The Website for a Menu
42,Zinc Bistro and Wine Bar,207 N Presa St,"San Antonio, TX 78205-2635","$$ - $$$, American, Bar, Wine Bar",4.5 of 5 bubbles,"1,129 reviews","Great place to start or even finish an evening. Big wine list both bottles and by the glass. 
I loved the calamari!  Besides being good and fresh they add avocado peppers radicchio and a real good spicy aioli. 
The location and the historic building are...More",+1 210-224-2900,https://www.tripadvisor.com//Restaurant_Review-g60956-d437288-Reviews-Zinc_Bistro_and_Wine_Bar-San_Antonio_Texas.html,Check The Website for a Menu
43,Bella On Houston,204 E Houston St,"San Antonio, TX 78205-1815","$$$$, Italian, Mediterranean, European",4.5 of 5 bubbles,"1,063 reviews",We typically dine downtown San Antonio on the Riverwalk prior to attending an evening performance at the Majestic Theater. We elected to dine at Bella's based upon very favorable reviews and proximity to the venue. From the warm welcome to the conclusion of our dining...More,+1 210-404-2355,https://www.tripadvisor.com//Restaurant_Review-g60956-d469768-Reviews-Bella_On_Houston-San_Antonio_Texas.html,https://www.bellaonhouston.com/menus/menu_dinner.pdf
44,La Fonda on Main,2415 N Main Ave,"San Antonio, TX 78212-3450","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,"1,096 reviews",Cute little place in a nice neighborhood off the beaten path of downtown San Antonio.  The atmosphere was sweet and comfortable - the staff kind and knowledgeable.  The food and beverages were excellent!,+1 210-733-0621,https://www.tripadvisor.com//Restaurant_Review-g60956-d437259-Reviews-La_Fonda_on_Main-San_Antonio_Texas.html,Check The Website for a Menu
45,Dough Pizzeria Napoletana,6989 Blanco Rd,"San Antonio, TX 78216-6164","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,983 reviews,"Great pizza and salads, reasonably priced, staff friendly and helpful. Clean, nicely decorated restaurant. Quick service. Great lunch spot or afternoon snack.",+1 210-979-6565,https://www.tripadvisor.com//Restaurant_Review-g60956-d798910-Reviews-Dough_Pizzeria_Napoletana-San_Antonio_Texas.html,Check The Website for a Menu
46,Las Canarias Restaurant,112 College St,"San Antonio, TX 78205-1811","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,941 reviews,"The riverwalk is full of places to eat, but some are purely tourist destinations. We tried Las Canarias to avoid the tourist trap, but were disappointed. It started with the gentleman at the entry  sharing a menu. Unfortunately, this was the lunch menu and our...More",+1 210-518-1063,https://www.tripadvisor.com//Restaurant_Review-g60956-d437237-Reviews-Las_Canarias_Restaurant-San_Antonio_Texas.html,https://www.omnihotels.com/hotels/san-antonio-la-mansion-del-rio/dining/las-canarias
47,Pete's Tako House,502 Brooklyn Ave,"San Antonio, TX 78215-1700","$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,208 reviews,My wife and I were both disappointed with our breakfast. Home fries potatoes were cold like they were cooked 3 hours ago and sat on a plate- I ordered my eggs over medium hard came back over easy  my wife ordered her eggs over med...More,+1 210-224-2911,https://www.tripadvisor.com//Restaurant_Review-g60956-d3316057-Reviews-Pete_s_Tako_House-San_Antonio_Texas.html,Check The Website for a Menu
48,Green Vegetarian Cuisine,200 E Grayson St Ste 120,"San Antonio, TX 78215-1269","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,514 reviews,"Loved this restaurant - so did my omnivore son. The Pearl Brewery is an interesting area - nice shops. You can take a nice walk along a less busy part of the riverwalk between here and the ""downtown"". 
It's always great when you can choose...More",+1 210-320-5865,https://www.tripadvisor.com//Restaurant_Review-g60956-d805217-Reviews-Green_Vegetarian_Cuisine-San_Antonio_Texas.html,Check The Website for a Menu
49,Supper American Eatery,136 E Grayson St,"San Antonio, TX 78215-1397","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,415 reviews,"Truly an outstanding breakfast. I had the scotch egg with a side of millionaires bacon and could not have been happier. The food was absolutely delicious, the service was impeccable and the atmosphere was great. I cannot express enough how great this restaurant was.",+1 210-448-8351,https://www.tripadvisor.com//Restaurant_Review-g60956-d9702137-Reviews-Supper_American_Eatery-San_Antonio_Texas.html,http://www.supperatemma.com/#menu
50,The Original Blanco Cafe,419 N Saint Marys St,"San Antonio, TX 78205-1703","$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,487 reviews,"If you want to dine with the locals, this is the spot. Awarded Best Enchilada for years. Simple, inexpensive.",+1 210-271-3300,https://www.tripadvisor.com//Restaurant_Review-g60956-d489394-Reviews-The_Original_Blanco_Cafe-San_Antonio_Texas.html,Check The Website for a Menu
51,Texas De Brazil,313 E Houston St,"San Antonio, TX 78205-1802","$$$$, Steakhouse, Brazilian, Vegetarian Friendly",4.5 of 5 bubbles,594 reviews,"Great place, vivid, good food, very friendly staff and located down town where you can easily walk around (using the river walk or not)",+1 210-299-1600,https://www.tripadvisor.com//Restaurant_Review-g60956-d2011064-Reviews-Texas_De_Brazil-San_Antonio_Texas.html,Check The Website for a Menu
52,Boudro's,421 E Commerce St,"San Antonio, TX 78205-2814","$$ - $$$, American, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,"4,620 reviews","Had been here roughly 10 years ago on vacation and it was top notch.  Visited again recently and it seems the place has slipped in quality.  There was an issue at our table and the server addressed it to the best of their ability.  However,...More",+1 210-224-8484,https://www.tripadvisor.com//Restaurant_Review-g60956-d437240-Reviews-Boudro_s-San_Antonio_Texas.html,Check The Website for a Menu
53,Fig Tree Restaurant,515 Villita St,"San Antonio, TX 78205","$$$$, International, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,336 reviews,"This was our first dinner in San Antonio and it certainly set the bar very high for all others. The setting is unique and romantic. We sat outside at a 2 top and enjoyed the elevated view down to the Riverwalk. Service was professional, but...More",+1 210-224-1976,https://www.tripadvisor.com//Restaurant_Review-g60956-d437243-Reviews-Fig_Tree_Restaurant-San_Antonio_Texas.html,Check The Website for a Menu
54,Cured,306 Pearl Pkwy Ste 101,"San Antonio, TX 78215-1290","$$ - $$$, American, Gluten Free Options",4.5 of 5 bubbles,705 reviews,"We went to Cured for a light dinner.  The place was busy but, we were seated right away.  We ordered a tasting sampler of meats and cheese including the quail wings.  The food was very good and the service was attentive.  Ii is pricey but,...More",210-314-3929,https://www.tripadvisor.com//Restaurant_Review-g60956-d5969552-Reviews-Cured-San_Antonio_Texas.html,http://curedatpearl.com/#menus
55,Battalion,604 S Alamo St,"San Antonio, TX 78205-3402","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,217 reviews,"This was our second visit to Battalion. My husband & I shared all of our dishes. We had the Meatballs which are very good and filling. We also had the Spinach Dumplings, my favorite-so yummy! The Chicken Parmesan was very good, as well. We were...More",+1 210-816-0088,https://www.tripadvisor.com//Restaurant_Review-g60956-d12255394-Reviews-Battalion-San_Antonio_Texas.html,Check The Website for a Menu
56,Magnolia Pancake Haus,606 Embassy Oaks,"San Antonio, TX 78216-2199","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,191 reviews",Stopped in for breakfast yesterday morning and it did not disappoint! I am curious about the brand of coffee that you serve. Is it available for purchase?More,+1 210-496-0828,https://www.tripadvisor.com//Restaurant_Review-g60956-d470027-Reviews-Magnolia_Pancake_Haus-San_Antonio_Texas.html,Check The Website for a Menu
